production_solar,production_wind,production_hydro,production_biomass,production_geothermal,production_cogen,year,month,day,hour,Hydro,Solar,Wind,Biomass,CoGen
1043.0,207,209,0.0,0.0,412.0,2022,1,1,0,2093.937,7840.373674,1134.159,0.0,1277.0
1498.0,218,203,0.0,0.0,390.0,2022,1,1,1,2093.937,7840.373674,1134.159,0.0,1277.0
2617.0,272,179,0.0,0.0,384.0,2022,1,1,2,2093.937,7840.373674,1134.159,0.0,1277.0
3195.0,348,163,0.0,0.0,406.0,2022,1,1,3,2093.937,7840.373674,1134.159,0.0,1277.0
3393.0,258,216,0.0,0.0,433.0,2022,1,1,4,2093.937,7840.373674,1134.159,0.0,1277.0
3301.0,205,268,0.0,0.0,460.0,2022,1,1,5,2093.937,7840.373674,1134.159,0.0,1277.0
2769.0,240,205,0.0,0.0,490.0,2022,1,1,6,2093.937,7840.373674,1134.159,0.0,1277.0
2112.0,346,208,0.0,0.0,449.0,2022,1,1,7,2093.937,7840.373674,1134.159,0.0,1277.0
828.0,315,320,0.0,0.0,442.0,2022,1,1,8,2093.937,7840.373674,1134.159,0.0,1277.0
107.0,485,527,0.0,0.0,374.0,2022,1,1,9,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,551,643,0.0,0.0,489.0,2022,1,1,10,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,512,649,0.0,0.0,487.0,2022,1,1,11,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,435,583,0.0,0.0,431.0,2022,1,1,12,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,374,518,0.0,0.0,398.0,2022,1,1,13,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,388,399,0.0,0.0,504.0,2022,1,1,14,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,291,324,0.0,0.0,418.0,2022,1,1,15,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,188,349,0.0,0.0,422.0,2022,1,1,16,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,205,254,0.0,0.0,555.0,2022,1,1,17,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,252,201,0.0,0.0,395.0,2022,1,1,18,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,239,204,0.0,0.0,395.0,2022,1,1,19,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,242,184,0.0,0.0,442.0,2022,1,1,20,2093.937,7840.373674,1134.159,0.0,1277.0
0.0,264,180,0.0,0.0,389.0,2022,1,1,21,2093.937,7840.373674,1134.159,0.0,1277.0
3.0,267,176,0.0,0.0,428.0,2022,1,1,22,2093.937,7840.373674,1134.159,0.0,1277.0
274.0,271,160,0.0,0.0,352.0,2022,1,1,23,2093.937,7840.373674,1134.159,0.0,1277.0
1033.0,337,182,0.0,0.0,295.0,2022,1,2,0,2093.937,7840.373674,1134.159,0.0,1277.0
2148.0,463,221,0.0,0.0,273.0,2022,1,2,1,2093.937,7840.373674,1134.159,0.0,1277.0
3149.0,557,207,0.0,0.0,355.0,2022,1,2,2,2093.937,7840.373674,1134.159,0.0,1277.0
3545.0,618,199,0.0,0.0,420.0,2022,1,2,3,2093.937,7840.373674,1134.159,0.0,1277.0
3692.0,657,174,0.0,0.0,422.0,2022,1,2,4,2093.937,7840.373674,1134.159,0.0,1277.0
3512.0,689,176,0.0,0.0,445.0,2022,1,2,5,2093.937,7840.373674,1134.159,0.0,1277.0
