Link,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,opex_fixed,max_utilisation_rate,min_utilisation_rate
transmission:GRIDREGION-JPN-KY~GRIDREGION-JPN-SH,GRIDREGION-JPN-KY,GRIDREGION-JPN-SH,transmission,transmission,1.0,True,2040,99.0,2800.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.83,
transmission:GRIDREGION-JPN-SH~GRIDREGION-JPN-KY,GRIDREGION-JPN-SH,GRIDREGION-JPN-KY,transmission,transmission,1.0,True,2040,99.0,984.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.0,
transmission:GRIDREGION-JPN-KY~GRIDREGION-JPN-CG,GRIDREGION-JPN-KY,GRIDREGION-JPN-CG,transmission,transmission,1.0,True,2040,99.0,5560.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.34,
transmission:GRIDREGION-JPN-HK~GRIDREGION-JPN-TH,GRIDREGION-JPN-HK,GRIDREGION-JPN-TH,transmission,transmission,1.0,True,2040,99.0,9200.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.48,0.48
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-CG,GRIDREGION-JPN-KA,GRIDREGION-JPN-CG,transmission,transmission,1.0,True,2040,99.0,2780.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.19,0.19
transmission:GRIDREGION-JPN-CB~GRIDREGION-JPN-HR,GRIDREGION-JPN-CB,GRIDREGION-JPN-HR,transmission,transmission,1.0,True,2040,99.0,773.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.02,
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-HR,GRIDREGION-JPN-KA,GRIDREGION-JPN-HR,transmission,transmission,1.0,True,2040,99.0,1064.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.09,0.09
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-SH,GRIDREGION-JPN-KA,GRIDREGION-JPN-SH,transmission,transmission,1.0,True,2040,99.0,1629.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.0,
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-CB,GRIDREGION-JPN-KA,GRIDREGION-JPN-CB,transmission,transmission,1.0,True,2040,99.0,5401.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.25,0.25
transmission:GRIDREGION-JPN-SH~GRIDREGION-JPN-KA,GRIDREGION-JPN-SH,GRIDREGION-JPN-KA,transmission,transmission,1.0,True,2040,99.0,2800.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,,0.98
transmission:GRIDREGION-JPN-TK~GRIDREGION-JPN-TH,GRIDREGION-JPN-TK,GRIDREGION-JPN-TH,transmission,transmission,1.0,True,2040,99.0,10310.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.0,
transmission:GRIDREGION-JPN-HR~GRIDREGION-JPN-CB,GRIDREGION-JPN-HR,GRIDREGION-JPN-CB,transmission,transmission,1.0,True,2040,99.0,2591.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.33,0.32
transmission:GRIDREGION-JPN-CG~GRIDREGION-JPN-KY,GRIDREGION-JPN-CG,GRIDREGION-JPN-KY,transmission,transmission,1.0,True,2040,99.0,2780.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,,0.19
transmission:GRIDREGION-JPN-TH~GRIDREGION-JPN-HK,GRIDREGION-JPN-TH,GRIDREGION-JPN-HK,transmission,transmission,1.0,True,2040,99.0,1397.0,0.0,False,0.0,inf,0.0,0.0,1.0,0.03169886333576503,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,0.0,
