Link,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,opex_fixed,max_utilisation_rate,min_utilisation_rate
transmission:GRIDREGION-JPN-KY~GRIDREGION-JPN-SH,GRIDREGION-JPN-KY,GRIDREGION-JPN-SH,transmission,transmission,1,TRUE,2040,99,2800,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.855,
transmission:GRIDREGION-JPN-SH~GRIDREGION-JPN-KY,GRIDREGION-JPN-SH,GRIDREGION-JPN-KY,transmission,transmission,1,TRUE,2040,99,984,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.025,
transmission:GRIDREGION-JPN-KY~GRIDREGION-JPN-CG,GRIDREGION-JPN-KY,GRIDREGION-JPN-CG,transmission,transmission,1,TRUE,2040,99,5560,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.365,
transmission:GRIDREGION-JPN-HK~GRIDREGION-JPN-TH,GRIDREGION-JPN-HK,GRIDREGION-JPN-TH,transmission,transmission,1,TRUE,2040,99,9200,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.505,0.455
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-CG,GRIDREGION-JPN-KA,GRIDREGION-JPN-CG,transmission,transmission,1,TRUE,2040,99,2780,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.215,0.165
transmission:GRIDREGION-JPN-CB~GRIDREGION-JPN-HR,GRIDREGION-JPN-CB,GRIDREGION-JPN-HR,transmission,transmission,1,TRUE,2040,99,773,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.045,
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-HR,GRIDREGION-JPN-KA,GRIDREGION-JPN-HR,transmission,transmission,1,TRUE,2040,99,1064,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.115,0.065
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-SH,GRIDREGION-JPN-KA,GRIDREGION-JPN-SH,transmission,transmission,1,TRUE,2040,99,1629,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.025,
transmission:GRIDREGION-JPN-KA~GRIDREGION-JPN-CB,GRIDREGION-JPN-KA,GRIDREGION-JPN-CB,transmission,transmission,1,TRUE,2040,99,5401,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.275,0.225
transmission:GRIDREGION-JPN-SH~GRIDREGION-JPN-KA,GRIDREGION-JPN-SH,GRIDREGION-JPN-KA,transmission,transmission,1,TRUE,2040,99,2800,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,,0.955
transmission:GRIDREGION-JPN-TK~GRIDREGION-JPN-TH,GRIDREGION-JPN-TK,GRIDREGION-JPN-TH,transmission,transmission,1,TRUE,2040,99,10310,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.025,
transmission:GRIDREGION-JPN-HR~GRIDREGION-JPN-CB,GRIDREGION-JPN-HR,GRIDREGION-JPN-CB,transmission,transmission,1,TRUE,2040,99,2591,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.355,0.295
transmission:GRIDREGION-JPN-CG~GRIDREGION-JPN-KY,GRIDREGION-JPN-CG,GRIDREGION-JPN-KY,transmission,transmission,1,TRUE,2040,99,2780,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,,0.165
transmission:GRIDREGION-JPN-TH~GRIDREGION-JPN-HK,GRIDREGION-JPN-TH,GRIDREGION-JPN-HK,transmission,transmission,1,TRUE,2040,99,1397,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.025,
transmission:GRIDREGION-JPN-CG~GRIDREGION-JPN-KA,GRIDREGION-JPN-CG,GRIDREGION-JPN-KA,transmission,transmission,1,TRUE,2040,99,5560,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.425,0.375
transmission:GRIDREGION-JPN-SH~GRIDREGION-JPN-CG,GRIDREGION-JPN-SH,GRIDREGION-JPN-CG,transmission,transmission,1,TRUE,2040,99,1200,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,,0.885
transmission:GRIDREGION-JPN-HR~GRIDREGION-JPN-KA,GRIDREGION-JPN-HR,GRIDREGION-JPN-KA,transmission,transmission,1,TRUE,2040,99,2003,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.205,
transmission:GRIDREGION-JPN-TH~GRIDREGION-JPN-TK,GRIDREGION-JPN-TH,GRIDREGION-JPN-TK,transmission,transmission,1,TRUE,2040,99,18280,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.6125,0.5625
transmission:GRIDREGION-JPN-CG~GRIDREGION-JPN-SH,GRIDREGION-JPN-CG,GRIDREGION-JPN-SH,transmission,transmission,1,TRUE,2040,99,423,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.025,
transmission:GRIDREGION-JPN-TK~GRIDREGION-JPN-CB,GRIDREGION-JPN-TK,GRIDREGION-JPN-CB,transmission,transmission,1,TRUE,2040,99,2400,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.465,0.415
transmission:GRIDREGION-JPN-CB~GRIDREGION-JPN-KA,GRIDREGION-JPN-CB,GRIDREGION-JPN-KA,transmission,transmission,1,TRUE,2040,99,5223,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.065,0.015
transmission:GRIDREGION-JPN-CB~GRIDREGION-JPN-TK,GRIDREGION-JPN-CB,GRIDREGION-JPN-TK,transmission,transmission,1,TRUE,2040,99,2400,0,FALSE,0,inf,0,0,1,0.031698863,0,0,0,0,1,FALSE,0,0,0,0,1,0,,,1,1,0,0,0.275,0.225
