hour,node,node_name,technology,user_data
0,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.53
0,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.4
0,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.47
0,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.57
0,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.96
0,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.87
0,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.45
0,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.53
0,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.49
1,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.55
1,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.42
1,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.5
1,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.59
1,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.96
1,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.88
1,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.47
1,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.55
1,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.5
2,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.58
2,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.44
2,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.52
2,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.62
2,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.97
2,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.89
2,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.49
2,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
2,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.52
3,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.61
3,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.46
3,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.56
3,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.65
3,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.98
3,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.9
3,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.52
3,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.59
3,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.54
4,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.64
4,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.47
4,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.59
4,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.68
4,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.99
4,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.91
4,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.54
4,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.61
4,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.55
5,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.65
5,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.48
5,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.6
5,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.69
5,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.99
5,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.91
5,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.54
5,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.61
5,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.56
6,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.65
6,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.48
6,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.6
6,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.7
6,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.98
6,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.91
6,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.54
6,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.61
6,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.55
7,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.62
7,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.47
7,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.58
7,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.69
7,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.97
7,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.89
7,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.52
7,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.6
7,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.52
8,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.59
