dayofweek,node,node_name,technology,user_data
0,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.68
0,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.53
0,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.61
0,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.69
0,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,1
0,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.94
0,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.59
0,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.66
0,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.58
1,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.59
1,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.46
1,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.53
1,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.64
1,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.95
1,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
1,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.5
1,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
1,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.5
2,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.52
2,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.41
2,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.47
2,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.61
2,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.89
2,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.81
2,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
2,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.48
2,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.44
3,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.4
3,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.31
3,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.36
3,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
3,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.81
3,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.75
3,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.32
3,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.38
3,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.34
4,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.34
4,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.27
4,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.32
4,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.44
4,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.8
4,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.71
4,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.29
4,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.38
4,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.24
5,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.51
5,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.4
5,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.47
5,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
5,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.97
5,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.86
5,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.46
5,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.57
5,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.42
6,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.71
6,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.54
6,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.65
6,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.72
6,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,1
6,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.98
6,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.63
6,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.72
6,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.59
