dayofweek,node,node_name,technology,user_data
0,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.64
0,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.49
0,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.57
0,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.65
0,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.96
0,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.9
0,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.55
0,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.62
0,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.54
1,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.55
1,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.42
1,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.49
1,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.6
1,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
1,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
1,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.46
1,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.53
1,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.46
2,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.48
2,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.37
2,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.43
2,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.57
2,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.85
2,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.77
2,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.38
2,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.44
2,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.4
3,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.36
3,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.27
3,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.32
3,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.47
3,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.77
3,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.71
3,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.28
3,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.34
3,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.3
4,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.3
4,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.23
4,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.28
4,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.4
4,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.76
4,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.67
4,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.25
4,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.34
4,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.2
5,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.47
5,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.36
5,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.43
5,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.51
5,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.93
5,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
5,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
5,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.53
5,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.38
6,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.67
6,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.5
6,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.61
6,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.68
6,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.96
6,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.94
6,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.59
6,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.68
6,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.55
