Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,opex_fixed,emission_activity_ratio
nuclear-Tomari:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,nuclear,2070,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Oma:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,nuclear,1383,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Onagawa:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,nuclear,825,0,FALSE,0,,0,1,0,,,0,1,,13,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Tohoku Higashidori:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,nuclear,1100,0,FALSE,0,,0,1,0,,,0,1,,14,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Kashiwazaki:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,nuclear,2712,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Tokai:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,nuclear,1100,0,FALSE,0,,0,1,0,,,0,1,,13,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Hamaoka:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,nuclear,3617,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Shika:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,nuclear,1206,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Mihama:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,826,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Oi:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,2360,0,FALSE,0,,0,1,0,,,0,1,,13,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Takahama:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,nuclear,3392,0,FALSE,0,,0,1,0,,,0,1,,14,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Shimane:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,nuclear,2193,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Ikata:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,nuclear,890,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Genkai:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,nuclear,2360,0,FALSE,0,,0,1,0,,,0,1,,12,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
nuclear-Sendai:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,nuclear,1780,0,FALSE,0,,0,1,0,,,0,1,,13,0,TRUE,0,40,319369.5412,0.34965035,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,155368.966,
