year,month,Hydro,Solar,Wind
2018,1,2089.271,1813.27975,694.75
2018,2,2089.271,1873.81575,694.75
2018,3,2091.467,1942.69775,699.388
2018,4,2091.467,2027.23275,697.088
2018,5,2091.467,2172.08175,694.788
2018,6,2091.467,2237.75475,694.788
2018,7,2091.467,2285.09675,697.088
2018,8,2091.467,2341.73175,697.088
2018,9,2091.467,2404.64175,697.088
2018,10,2091.467,2538.57197,706.251
2018,11,2091.467,2621.02617,706.251
2018,12,2091.467,2738.11917,713.1512
2020,1,2092.467,4198.986949,845.159
2020,2,2092.467,4261.964549,845.1594
2020,3,2092.717,4315.834829,857.0594
2020,4,2092.717,4478.801844,857.059
2020,5,2092.717,4559.911739,857.059
2020,6,2092.717,4703.050989,857.059
2020,7,2092.717,4769.371749,857.059
2020,8,2092.717,4888.638739,857.059
2020,9,2092.717,4984.665839,857.059
2020,10,2092.717,5210.400719,857.059
2020,11,2093.197,5455.287119,937.145
2020,12,2093.197,5817.208664,937.115
2021,1,2093.197,5863.258754,952.215
2021,2,2093.197,5903.741754,953.815
2021,3,2093.197,6000.011754,952.215
2021,4,2093.197,6124.903524,952.215
2021,5,2093.197,6237.846249,952.215
2021,6,2093.197,6623.450109,970.715
2021,7,2093.197,6764.049509,999.488
2021,8,2093.937,6903.583829,999.488
2021,9,2093.937,7001.426044,1077.488
2021,10,2093.937,7113.857129,1077.488
2021,11,2093.937,7269.349149,1078.168
2021,12,2093.937,7700.213294,1094.168
2022,1,2093.937,7840.373674,1134.159
2022,2,2093.937,7902.985164,1134.159
2022,3,2093.937,8045.459164,1134.159
2022,4,2093.937,8168.168914,1142.347
2022,5,2093.937,8380.619464,1142.347
2022,6,2093.937,8700.726724,1144.647
2022,7,2093.937,8801.141484,1184.835
2022,8,2093.937,8914.315764,1275.187
2022,9,2093.937,9079.645319,1308.187
2022,10,2097.95,9157.165374,1404.739
2022,11,2097.95,9250.919669,1508.729
2022,12,2097.98,9723.746514,1581.055
2023,1,2098.11,10072.97318,1677.643
2023,2,2100.045,10167.52963,1750.019
2023,3,2100.045,10311.23313,1831.592
2023,4,2100.045,10479.64288,1920.008
2023,5,2100.045,10721.47869,2033.274
2023,6,2103.555,10999.88707,2154.302
2023,7,2103.654,11226.39996,2328.712
2023,8,2103.654,11432.45039,2533.275
2023,9,2103.654,11554.01553,2591.963
2023,10,2103.654,11702.26709,2633.163
2023,11,2103.654,12011.68591,2669.363
2023,12,2103.654,12417.68487,2677.422
2024,1,2106.831,12458.4363,2804.1674
2024,2,2106.831,12569.81405,2820.305
2024,3,2111.369,12816.29459,2971.257
2024,4,2111.369,12963.04655,3008.147
2024,5,2111.369,13220.49186,3302.547
2024,6,2113.061,13395.70787,3353.547
2024,7,2113.061,13517.39942,3487.047
2024,8,2120.207,13622.18647,3638.047
2024,9,2120.207,13705.53973,3857.247
2024,10,2120.207,13818.26553,3857.2467
2024,11,2121.1235,13926.63521,3882.2467
2024,12,2122.6235,14281.14509,3890.2467
