Country,Technology,Year,OvernightCapitalCost,FixedCost,VariableCost,Efficiency
IDN,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
IDN,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
IDN,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
KHM,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
KHM,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
KHM,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
MYS,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
MYS,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
MYS,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
PHL,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
PHL,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
PHL,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
SGP,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
SGP,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
SGP,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
THA,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
THA,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
THA,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
VNM,bioenergy-unspecified,2023,2450000,110580,0.13,0.7
VNM,bioenergy-unspecified,2030,2080000,101700,0.12,0.7
VNM,bioenergy-unspecified,2050,1840000,88500,0.1,0.7
IDN,biogas,2023,2450000,110580,0.13,0.7
IDN,biogas,2030,2080000,101700,0.12,0.7
IDN,biogas,2050,1840000,88500,0.1,0.7
VNM,biogas,2023,2900000,100800,0.11,0.7
VNM,biogas,2030,2700000,92700,0.1,0.7
VNM,biogas,2050,2300000,80700,0.1,0.7
BRN,biogas,2023,2647250,,0.11765,0.7
BRN,biogas,2030,2372362.5,,0.107614,0.7
BRN,biogas,2050,2050437.5,,0.10036,0.7
KHM,biogas,2023,2647250,,0.11765,0.7
KHM,biogas,2030,2372362.5,,0.107614,0.7
KHM,biogas,2050,2050437.5,,0.10036,0.7
LAO,biogas,2023,2647250,,0.11765,0.7
LAO,biogas,2030,2372362.5,,0.107614,0.7
LAO,biogas,2050,2050437.5,,0.10036,0.7
MMR,biogas,2023,2647250,,0.11765,0.7
MMR,biogas,2030,2372362.5,,0.107614,0.7
MMR,biogas,2050,2050437.5,,0.10036,0.7
MYS,biogas,2023,2647250,,0.11765,0.7
MYS,biogas,2030,2372362.5,,0.107614,0.7
MYS,biogas,2050,2050437.5,,0.10036,0.7
PHL,biogas,2023,2647250,,0.11765,0.7
PHL,biogas,2030,2372362.5,,0.107614,0.7
PHL,biogas,2050,2050437.5,,0.10036,0.7
SGP,biogas,2023,2647250,,0.11765,0.7
SGP,biogas,2030,2372362.5,,0.107614,0.7
SGP,biogas,2050,2050437.5,,0.10036,0.7
THA,biogas,2023,2647250,,0.11765,0.7
THA,biogas,2030,2372362.5,,0.107614,0.7
THA,biogas,2050,2050437.5,,0.10036,0.7
IDN,biomass,2023,2280000,54000,3.4,0.7
IDN,biomass,2030,2070000,49700,3.13,0.7
IDN,biomass,2050,1820000,43200,2.72,0.7
VNM,biomass,2023,1800000,49500,3.2,0.7
VNM,biomass,2030,1600000,45500,2.9,0.7
VNM,biomass,2050,1400000,39600,2.5,0.7
BRN,biomass,2023,1996200,,3.245,0.7
BRN,biomass,2030,1796782,,2.96252,0.7
BRN,biomass,2050,1576160,,2.5648,0.7
