hour,IDNSM,IDNJW,IDNNU,IDNKA,IDNSL,IDNPP,MYSPE,MYSSK,MYSSH,PHLLU,PHLVI,SGPXX,BRNXX,THANO,THASO,VNMNO,VNMCE,VNMSO,KHMXX,LAOXX
1,13.14526789,6.456503341,28.60678999,18.52126402,42.05753926,9.837326229,4.336116897,11.84783005,1193.098349,26.58167757,13.14526789,11.84783005,11.84783005,11.84783005,11.84783005,11.84783005,11.84783005,11.84783005,11.84783005,11.84783005
2,14.12538129,6.937901322,30.73971709,19.9022126,45.19335649,10.57079894,4.659418506,12.73120626,1282.055964,28.56361194,14.12538129,12.73120626,12.73120626,12.73120626,12.73120626,12.73120626,12.73120626,12.73120626,12.73120626,12.73120626
3,14.56547833,7.154061849,31.69745822,20.52229533,46.60142204,10.90014774,4.804589548,13.12786573,1322.000305,29.45355332,14.56547833,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573
4,14.3716514,7.058860729,31.2756512,20.24919935,45.98128376,10.75509639,4.740653518,12.95316952,1304.408073,29.06160657,14.3716514,12.95316952,12.95316952,12.95316952,12.95316952,12.95316952,12.95316952,12.95316952,12.95316952,12.95316952
5,14.36414903,7.055175824,31.25932451,20.23862875,45.95728036,10.74948196,4.738178777,12.94640764,1303.727139,29.04643567,14.36414903,12.94640764,12.94640764,12.94640764,12.94640764,12.94640764,12.94640764,12.94640764,12.94640764,12.94640764
6,14.34307553,7.044825246,31.21346427,20.20893686,45.88985689,10.7337115,4.731227442,12.92741409,1301.814454,29.00382194,14.34307553,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409
7,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
8,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
9,14.20297208,6.976011249,30.90857051,20.01153556,45.44160383,10.62886439,4.685012716,12.80113885,1289.098304,28.72051201,14.20297208,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885
10,14.06208087,6.906810337,30.60196245,19.81302433,44.99083041,10.52342776,4.638538141,12.6741536,1276.310656,28.43560914,14.06208087,12.6741536,12.6741536,12.6741536,12.6741536,12.6741536,12.6741536,12.6741536,12.6741536,12.6741536
11,13.94258283,6.848117011,30.34191029,19.6446554,44.60850321,10.43400081,4.599120347,12.56645002,1265.464706,28.19396642,13.94258283,12.56645002,12.56645002,12.56645002,12.56645002,12.56645002,12.56645002,12.56645002,12.56645002,12.56645002
12,15.22909537,7.48000771,33.14162456,21.45731062,48.72462714,11.39676883,5.023491216,13.72598378,1382.231896,30.79548521,15.22909537,13.72598378,13.72598378,13.72598378,13.72598378,13.72598378,13.72598378,13.72598378,13.72598378,13.72598378
13,15.13207345,7.432353879,32.93048502,21.32060982,48.41421099,11.324162,4.991487426,13.63853792,1373.425936,30.59929252,15.13207345,13.63853792,13.63853792,13.63853792,13.63853792,13.63853792,13.63853792,13.63853792,13.63853792,13.63853792
14,15.03724515,7.385777482,32.72411926,21.18699976,48.11081324,11.25319677,4.960207228,13.55306918,1364.819076,30.40753567,15.03724515,13.55306918,13.55306918,13.55306918,13.55306918,13.55306918,13.55306918,13.55306918,13.55306918,13.55306918
15,13.44894661,6.605659881,29.26765696,18.94913767,43.0291421,10.0645857,4.436288795,12.12153569,1220.661012,27.1957609,13.44894661,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569
16,12.26920907,6.026213389,26.70030693,17.28692504,39.25463874,9.181723281,4.04713888,11.05823823,1113.584996,24.81015696,12.26920907,11.05823823,11.05823823,11.05823823,11.05823823,11.05823823,11.05823823,11.05823823,11.05823823,11.05823823
17,10.74939736,5.279734164,23.39288597,15.14555871,34.39208735,8.044364671,3.545811612,9.688431925,975.6429732,21.7368727,10.74939736,9.688431925,9.688431925,9.688431925,9.688431925,9.688431925,9.688431925,9.688431925,9.688431925,9.688431925
18,9.724958018,4.776564804,21.16349656,13.70215629,31.11445176,7.277720423,3.207888583,8.765104738,882.6622217,19.6653047,9.724958018,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738
19,9.563407577,4.697216785,20.81192977,13.47453686,30.59758028,7.156823352,3.154599323,8.619499324,867.9994878,19.33862579,9.563407577,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324
20,9.945817938,4.885043598,21.64413289,14.01334089,31.82108055,7.443002037,3.280741753,8.964165786,902.7080365,20.11191615,9.945817938,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786
21,10.01190075,4.917501202,21.78794259,14.10644946,32.03250876,7.492455436,3.302539924,9.023726225,908.7058826,20.24554538,10.01190075,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225
22,10.94995848,5.378242887,23.82934797,15.42814295,35.03377129,8.194455579,3.611968991,9.869197666,993.8464169,22.14243698,10.94995848,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666
23,12.23814111,6.010953878,26.6326967,17.24315127,39.15523858,9.158473422,4.03689076,11.03023668,1110.765188,24.74733295,12.23814111,11.03023668,11.03023668,11.03023668,11.03023668,11.03023668,11.03023668,11.03023668,11.03023668,11.03023668
24,12.35379501,6.06775909,26.88438321,17.40610392,39.52526664,9.245023583,4.075040518,11.13447554,1121.262233,24.98120224,12.35379501,11.13447554,11.13447554,11.13447554,11.13447554,11.13447554,11.13447554,11.13447554,11.13447554,11.13447554
25,13.1173917,6.442811516,28.54612571,18.48198736,41.96835097,9.816464946,4.326921617,11.82270524,1190.568235,26.52530779,13.1173917,11.82270524,11.82270524,11.82270524,11.82270524,11.82270524,11.82270524,11.82270524,11.82270524,11.82270524
26,14.17679044,6.963151732,30.85159393,19.97464647,45.35783718,10.60927123,4.676376405,12.77754134,1286.721992,28.66756887,14.17679044,12.77754134,12.77754134,12.77754134,12.77754134,12.77754134,12.77754134,12.77754134,12.77754134,12.77754134
27,14.59408355,7.168111751,31.75970903,20.56259918,46.69294283,10.9215546,4.814025308,13.15364762,1324.596588,29.51139731,14.59408355,13.15364762,13.15364762,13.15364762,13.15364762,13.15364762,13.15364762,13.15364762,13.15364762,13.15364762
28,14.31558588,7.031323274,31.15364116,20.17020482,45.80190531,10.71313948,4.722159666,12.90263767,1299.319423,28.94823379,14.31558588,12.90263767,12.90263767,12.90263767,12.90263767,12.90263767,12.90263767,12.90263767,12.90263767,12.90263767
29,14.2858765,7.016731051,31.08898749,20.12834525,45.70685184,10.69090633,4.712359688,12.8758606,1296.622923,28.88815703,14.2858765,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606
30,14.35201477,7.049215891,31.23291787,20.22153196,45.91845747,10.74040122,4.734176151,12.93547102,1302.625802,29.02189839,14.35201477,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102
31,14.33383457,7.040286405,31.19335405,20.19591665,45.86029097,10.72679598,4.728179206,12.91908521,1300.975721,28.98513535,14.33383457,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521
32,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
33,14.20297208,6.976011249,30.90857051,20.01153556,45.44160383,10.62886439,4.685012716,12.80113885,1289.098304,28.72051201,14.20297208,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885
34,14.20297208,6.976011249,30.90857051,20.01153556,45.44160383,10.62886439,4.685012716,12.80113885,1289.098304,28.72051201,14.20297208,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885,12.80113885
35,14.04524784,6.898542532,30.56533034,19.78930713,44.93697409,10.51083068,4.632985574,12.65898199,1274.782847,28.40157026,14.04524784,12.65898199,12.65898199,12.65898199,12.65898199,12.65898199,12.65898199,12.65898199,12.65898199,12.65898199
36,15.48088462,7.603677925,33.68956943,21.81207365,49.53021256,11.58519656,5.106546778,13.95292143,1405.084936,31.30464034,15.48088462,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143
37,15.48088462,7.603677925,33.68956943,21.81207365,49.53021256,11.58519656,5.106546778,13.95292143,1405.084936,31.30464034,15.48088462,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143
38,15.39157219,7.559810735,33.49520733,21.68623529,49.24446251,11.51835916,5.077086053,13.87242414,1396.97871,31.1240374,15.39157219,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414
39,13.44894661,6.605659881,29.26765696,18.94913767,43.0291421,10.0645857,4.436288795,12.12153569,1220.661012,27.1957609,13.44894661,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569,12.12153569
40,12.25260927,6.018060137,26.66418236,17.26353644,39.20152861,9.169300736,4.041663245,11.04327683,1112.078355,24.7765897,12.25260927,11.04327683,11.04327683,11.04327683,11.04327683,11.04327683,11.04327683,11.04327683,11.04327683,11.04327683
41,10.81981687,5.314321803,23.54613321,15.24477755,34.61739057,8.097063457,3.569040291,9.751901027,982.0344289,21.87927136,10.81981687,9.751901027,9.751901027,9.751901027,9.751901027,9.751901027,9.751901027,9.751901027,9.751901027,9.751901027
42,9.724958018,4.776564804,21.16349656,13.70215629,31.11445176,7.277720423,3.207888583,8.765104738,882.6622217,19.6653047,9.724958018,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738
43,9.563407577,4.697216785,20.81192977,13.47453686,30.59758028,7.156823352,3.154599323,8.619499324,867.9994878,19.33862579,9.563407577,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324
44,9.945817938,4.885043598,21.64413289,14.01334089,31.82108055,7.443002037,3.280741753,8.964165786,902.7080365,20.11191615,9.945817938,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786
45,10.01190075,4.917501202,21.78794259,14.10644946,32.03250876,7.492455436,3.302539924,9.023726225,908.7058826,20.24554538,10.01190075,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225,9.023726225
46,10.94995848,5.378242887,23.82934797,15.42814295,35.03377129,8.194455579,3.611968991,9.869197666,993.8464169,22.14243698,10.94995848,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666,9.869197666
47,12.22491901,6.004459633,26.60392269,17.22452174,39.11293519,9.148578592,4.032529296,11.0183196,1109.565116,24.72059589,12.22491901,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196
48,12.3405729,6.061264846,26.8556092,17.3874744,39.48296326,9.235128753,4.070679055,11.12255845,1120.062161,24.95446518,12.3405729,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845
49,13.22721495,6.496752917,28.78512354,18.63672482,42.31972422,9.898651715,4.363148071,11.92168894,1200.536075,26.74738665,13.22721495,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894
50,14.34149025,7.04404661,31.21001437,20.20670325,45.88478487,10.73252515,4.730704518,12.92598528,1301.67057,29.00061626,14.34149025,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528
51,14.56547833,7.154061849,31.69745822,20.52229533,46.60142204,10.90014774,4.804589548,13.12786573,1322.000305,29.45355332,14.56547833,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573
52,14.29337887,7.020415955,31.10531417,20.13891585,45.73085524,10.69652076,4.71483443,12.88262249,1297.303857,28.90332793,14.29337887,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249
53,14.2858765,7.016731051,31.08898749,20.12834525,45.70685184,10.69090633,4.712359688,12.8758606,1296.622923,28.88815703,14.2858765,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606
54,14.35201477,7.049215891,31.23291787,20.22153196,45.91845747,10.74040122,4.734176151,12.93547102,1302.625802,29.02189839,14.35201477,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102,12.93547102
55,14.33383457,7.040286405,31.19335405,20.19591665,45.86029097,10.72679598,4.728179206,12.91908521,1300.975721,28.98513535,14.33383457,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521,12.91908521
56,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
57,14.18076507,6.965103931,30.86024352,19.98024659,45.37055377,10.61224566,4.67768748,12.78112367,1287.082739,28.67560615,14.18076507,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367
58,14.18076507,6.965103931,30.86024352,19.98024659,45.37055377,10.61224566,4.67768748,12.78112367,1287.082739,28.67560615,14.18076507,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367
59,14.0358389,6.89392118,30.54485455,19.77605022,44.9068707,10.50378945,4.629881925,12.65050171,1273.928866,28.38254398,14.0358389,12.65050171,12.65050171,12.65050171,12.65050171,12.65050171,12.65050171,12.65050171,12.65050171,12.65050171
60,15.4714773,7.599057375,33.66909718,21.79881904,49.50011438,11.57815655,5.103443667,13.94444262,1404.231104,31.28561736,15.4714773,13.94444262,13.94444262,13.94444262,13.94444262,13.94444262,13.94444262,13.94444262,13.94444262,13.94444262
61,15.48088462,7.603677925,33.68956943,21.81207365,49.53021256,11.58519656,5.106546778,13.95292143,1405.084936,31.30464034,15.48088462,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143,13.95292143
62,15.39157219,7.559810735,33.49520733,21.68623529,49.24446251,11.51835916,5.077086053,13.87242414,1396.97871,31.1240374,15.39157219,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414,13.87242414
63,13.36281454,6.563354769,29.08021596,18.82778032,42.75356742,10.00012834,4.407877145,12.04390485,1212.843443,27.02158909,13.36281454,12.04390485,12.04390485,12.04390485,12.04390485,12.04390485,12.04390485,12.04390485,12.04390485,12.04390485
64,11.93594085,5.862523505,25.97504715,16.81736072,38.18836597,8.932320359,3.937206547,10.75786358,1083.336715,24.13623928,11.93594085,10.75786358,10.75786358,10.75786358,10.75786358,10.75786358,10.75786358,10.75786358,10.75786358,10.75786358
65,10.63264258,5.222388232,23.1388037,14.98105494,34.01853704,7.956990652,3.507298712,9.583200839,965.0460087,21.50077724,10.63264258,9.583200839,9.583200839,9.583200839,9.583200839,9.583200839,9.583200839,9.583200839,9.583200839,9.583200839
66,9.724958018,4.776564804,21.16349656,13.70215629,31.11445176,7.277720423,3.207888583,8.765104738,882.6622217,19.6653047,9.724958018,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738,8.765104738
67,9.563407577,4.697216785,20.81192977,13.47453686,30.59758028,7.156823352,3.154599323,8.619499324,867.9994878,19.33862579,9.563407577,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324,8.619499324
68,9.945817938,4.885043598,21.64413289,14.01334089,31.82108055,7.443002037,3.280741753,8.964165786,902.7080365,20.11191615,9.945817938,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786,8.964165786
69,10.03298811,4.927858588,21.833833,14.13616089,32.09997658,7.508236267,3.309495831,9.042732264,910.6198258,20.28818715,10.03298811,9.042732264,9.042732264,9.042732264,9.042732264,9.042732264,9.042732264,9.042732264,9.042732264,9.042732264
70,10.97104584,5.388600274,23.87523838,15.45785437,35.1012391,8.21023641,3.618924898,9.888203706,995.7603602,22.18507874,10.97104584,9.888203706,9.888203706,9.888203706,9.888203706,9.888203706,9.888203706,9.888203706,9.888203706,9.888203706
71,12.22491901,6.004459633,26.60392269,17.22452174,39.11293519,9.148578592,4.032529296,11.0183196,1109.565116,24.72059589,12.22491901,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196,11.0183196
72,12.3405729,6.061264846,26.8556092,17.3874744,39.48296326,9.235128753,4.070679055,11.12255845,1120.062161,24.95446518,12.3405729,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845,11.12255845
73,13.22721495,6.496752917,28.78512354,18.63672482,42.31972422,9.898651715,4.363148071,11.92168894,1200.536075,26.74738665,13.22721495,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894,11.92168894
74,14.34149025,7.04404661,31.21001437,20.20670325,45.88478487,10.73252515,4.730704518,12.92598528,1301.67057,29.00061626,14.34149025,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528,12.92598528
75,14.56547833,7.154061849,31.69745822,20.52229533,46.60142204,10.90014774,4.804589548,13.12786573,1322.000305,29.45355332,14.56547833,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573,13.12786573
76,14.29337887,7.020415955,31.10531417,20.13891585,45.73085524,10.69652076,4.71483443,12.88262249,1297.303857,28.90332793,14.29337887,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249,12.88262249
77,14.2858765,7.016731051,31.08898749,20.12834525,45.70685184,10.69090633,4.712359688,12.8758606,1296.622923,28.88815703,14.2858765,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606,12.8758606
78,14.34307553,7.044825246,31.21346427,20.20893686,45.88985689,10.7337115,4.731227442,12.92741409,1301.814454,29.00382194,14.34307553,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409,12.92741409
79,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
80,14.32489534,7.03589576,31.17390045,20.18332155,45.83169039,10.72010626,4.725230497,12.91102828,1300.164373,28.96705889,14.32489534,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828,12.91102828
81,14.18076507,6.965103931,30.86024352,19.98024659,45.37055377,10.61224566,4.67768748,12.78112367,1287.082739,28.67560615,14.18076507,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367,12.78112367
