,PAK,IND
0,100,1000
1,100,1000
2,100,1000
3,100,1000
4,100,1000
5,100,1000
6,100,1000
7,100,1000
8,100,1000
9,100,1000
10,100,1000
11,100,1000
12,200,2000
13,200,2000
14,200,2000
15,200,2000
16,200,2000
17,200,2000
18,200,2000
19,200,2000
20,200,2000
21,200,2000
22,200,2000
23,200,2000
24,300,3000
25,300,3000
26,300,3000
27,300,3000
28,300,3000
29,300,3000
30,300,3000
31,300,3000
32,300,3000
33,300,3000
34,300,3000
35,300,3000
36,400,4000
37,400,4000
38,400,4000
39,400,4000
40,400,4000
41,400,4000
42,400,4000
43,400,4000
44,400,4000
45,400,4000
46,400,4000
47,400,4000
