,period,timestep,objective,stores,generators
0,2020,2020-01-01,1,1,1
1,2020,2020-02-01,1,1,1
2,2020,2020-03-01,1,1,1
3,2020,2020-04-01,1,1,1
4,2020,2020-05-01,1,1,1
5,2020,2020-06-01,1,1,1
6,2020,2020-07-01,1,1,1
7,2020,2020-08-01,1,1,1
8,2020,2020-09-01,1,1,1
9,2020,2020-10-01,1,1,1
10,2020,2020-11-01,1,1,1
11,2020,2020-12-01,1,1,1
12,2030,2030-01-01,1,1,1
13,2030,2030-02-01,1,1,1
14,2030,2030-03-01,1,1,1
15,2030,2030-04-01,1,1,1
16,2030,2030-05-01,1,1,1
17,2030,2030-06-01,1,1,1
18,2030,2030-07-01,1,1,1
19,2030,2030-08-01,1,1,1
20,2030,2030-09-01,1,1,1
21,2030,2030-10-01,1,1,1
22,2030,2030-11-01,1,1,1
23,2030,2030-12-01,1,1,1
24,2040,2040-01-01,1,1,1
25,2040,2040-02-01,1,1,1
26,2040,2040-03-01,1,1,1
27,2040,2040-04-01,1,1,1
28,2040,2040-05-01,1,1,1
29,2040,2040-06-01,1,1,1
30,2040,2040-07-01,1,1,1
31,2040,2040-08-01,1,1,1
32,2040,2040-09-01,1,1,1
33,2040,2040-10-01,1,1,1
34,2040,2040-11-01,1,1,1
35,2040,2040-12-01,1,1,1
36,2050,2050-01-01,1,1,1
37,2050,2050-02-01,1,1,1
38,2050,2050-03-01,1,1,1
39,2050,2050-04-01,1,1,1
40,2050,2050-05-01,1,1,1
41,2050,2050-06-01,1,1,1
42,2050,2050-07-01,1,1,1
43,2050,2050-08-01,1,1,1
44,2050,2050-09-01,1,1,1
45,2050,2050-10-01,1,1,1
46,2050,2050-11-01,1,1,1
47,2050,2050-12-01,1,1,1
