seed,solution,objective_1,objective_2,cfe_score,type,SGPXX-bioenergy-unspecified,SGPXX-open-cycle-gas-turbine,SGPXX-oil-unspecified,SGPXX-photovoltaic-unspecified,SGPXX-waste,SGPXX-battery
1,1,1412610312319160.5,0.0,0.0,feasible,339903.2418629553,738275.4006455969,713956.9852028734,112096.27478334322,327715.95889500395,386660.5874426122
1,2,1011927948799175.9,0.0,0.0,feasible,192956.60289918934,183358.75043167552,970194.2623865672,797248.647624722,19402.602026897726,276557.1762166319
1,3,3423697731599154.5,0.0,0.0,feasible,301697.1542046757,727401.78148007,643437.8471565474,367232.3943457607,951481.2683273514,939286.820329792
1,4,717416487944574.6,0.0,0.0,feasible,167332.78694997248,451494.63281820534,449384.56091758324,681011.2894343422,666333.3240053534,195628.44204333198
1,5,1272263319808996.0,0.0,0.0,feasible,772343.5301699595,765787.0455125556,438044.7195654584,664016.3556783096,282159.0668967035,348094.67080249666
1,6,2046014465252601.8,0.0,0.0,feasible,374799.12301017967,135725.51378013977,117298.86229905687,128599.06557893241,273114.4396959515,560713.5637453638
1,7,3458822713912682.5,0.0,0.0,feasible,877992.467201669,290561.5250164548,944403.1712366263,868308.4916085473,997180.6857691031,948938.8058526805
1,8,1517206517477089.5,0.0,0.0,feasible,467710.817025615,396812.4604951422,378869.96570378105,146438.17513595175,274956.48998912406,415402.55374232447
1,9,635452905136600.6,0.0,0.0,feasible,176194.4956804148,348242.3088570191,895153.7455647064,102575.19555918752,224628.89893172632,173105.688647896
1,10,1298064448877174.2,0.0,0.0,feasible,366746.69774895866,29780.875640697384,858152.1649601663,390069.8208071162,502727.58412245935,355184.55691311037
1,11,3338526800608168.0,0.0,0.0,feasible,255012.8014953584,174416.24084301063,24871.38403897869,244727.40682660695,294886.6141631665,915882.7204911615
1,12,1165382105010416.0,0.0,0.0,feasible,523397.7760214745,131919.05810093525,275761.82384237385,42270.90386906893,764536.3360711522,318724.8072479371
1,13,2978129537261588.0,0.0,0.0,feasible,523062.66840223403,874577.9111381195,778757.5243169895,145154.76500134962,483264.5923970438,816849.2423456047
1,14,1841578835716987.5,0.0,0.0,feasible,790742.400998428,536968.3546051846,81711.81752616887,643480.7623511369,119536.40872358227,504536.7458034401
1,15,1524777541749219.8,0.0,0.0,feasible,125920.4104787662,708294.0799218751,165660.90401922096,582224.360526296,622254.2365818575,417482.9936985859
1,16,406363179228195.9,0.0,0.0,feasible,830496.9443300462,596310.6607212832,660804.615317795,360056.76103918254,720931.5428408027,110154.17743649191
1,17,2979992701591782.0,0.0,0.0,feasible,909339.1302337146,430108.3974660003,218123.7305265562,907739.0539947487,181360.472650593,817361.2208280783
1,18,3214148013302511.0,0.0,0.0,feasible,593529.2431722643,831458.6987560716,631816.410339897,528460.0301351789,744967.352828749,881704.7031554409
1,19,1194182785970407.5,0.0,0.0,feasible,988428.2778049813,996197.4136751132,46436.465552054164,632449.4696142215,989312.9439854558,326638.93950838543
