name,co2_emissions,color,nice_name
backstop,0.0,pink,Backstop
battery,0.0,plum,Battery
biomass,0.0,teal,Biomass
bioenergy,0.0,teal,Bioenergy
bituminous,0.34,black,Bituminous Coal
coal,0.34,black,Coal
coal-unspecified,0.34,black,Coal Unspecified
diesel,0.26,darkgray,Diesel
gas,0.2,grey,Gas
geothermal,0.0,brown,Geothermal
hydro,0.0,deepskyblue,Hydro
lignite,0.34,balck,Lignite Coal
liquefied-natural-gas,0.2,grey,Liquefied Natural Gas
natural-gas,0.2,grey,Natural Gas
naptha,0.2,grey,Naptha
nuclear,0.0,blue,Nuclear
oil,0.26,gainsboro,Oil
on-wind,0.0,turquoise,Onshore Wind
off-wind,0.0,mediumturquoise,Offshore Wind
solar,0.0,gold,Solar
uranium,0.0,blue,Uranium
waste,0.0,peru,Waste
waste-unspecified,0.0,peru,Waste Unspecified
transmission,0.0,red,Transmission
AC,0.0,red,Transmission
