,coal-plant-north,coal-plant-east,coal-plant-south,coal-plant-west,coal-plant-northeast
 0,0.6,0.6,0.6,0.6,0.6
 1,0.6,0.6,0.6,0.6,0.6
 2,0.6,0.6,0.6,0.6,0.6
 3,0.6,0.6,0.6,0.6,0.6
 4,0.6,0.6,0.6,0.6,0.6
 5,0.2,0.2,0.2,0.2,0.2
 6,0.2,0.2,0.2,0.2,0.2
 7,0.2,0.2,0.2,0.2,0.2
 8,0.6,0.6,0.6,0.6,0.6
 9,0.6,0.6,0.6,0.6,0.6
10,0.6,0.6,0.6,0.6,0.6
11,0.6,0.6,0.6,0.6,0.6
12,0.6,0.6,0.6,0.6,0.6
13,0.6,0.6,0.6,0.6,0.6
14,0.6,0.6,0.6,0.6,0.6
15,0.6,0.6,0.6,0.6,0.6
16,0.6,0.6,0.6,0.6,0.6
17,0.2,0.2,0.2,0.2,0.2
18,0.2,0.2,0.2,0.2,0.2
19,0.2,0.2,0.2,0.2,0.2
20,0.6,0.6,0.6,0.6,0.6
21,0.6,0.6,0.6,0.6,0.6
22,0.6,0.6,0.6,0.6,0.6
23,0.6,0.6,0.6,0.6,0.6
24,0.6,0.6,0.6,0.6,0.6
25,0.6,0.6,0.6,0.6,0.6
26,0.6,0.6,0.6,0.6,0.6
27,0.6,0.6,0.6,0.6,0.6
28,0.6,0.6,0.6,0.6,0.6
29,0.2,0.2,0.2,0.2,0.2
30,0.2,0.2,0.2,0.2,0.2
31,0.2,0.2,0.2,0.2,0.2
32,0.6,0.6,0.6,0.6,0.6
33,0.6,0.6,0.6,0.6,0.6
34,0.6,0.6,0.6,0.6,0.6
35,0.6,0.6,0.6,0.6,0.6
36,0.6,0.6,0.6,0.6,0.6
37,0.6,0.6,0.6,0.6,0.6
38,0.6,0.6,0.6,0.6,0.6
39,0.6,0.6,0.6,0.6,0.6
40,0.6,0.6,0.6,0.6,0.6
41,0.2,0.2,0.2,0.2,0.2
42,0.2,0.2,0.2,0.2,0.2
43,0.2,0.2,0.2,0.2,0.2
44,0.6,0.6,0.6,0.6,0.6
45,0.6,0.6,0.6,0.6,0.6
46,0.6,0.6,0.6,0.6,0.6
47,0.6,0.6,0.6,0.,0.66
