,Bio-power-Bagasse-EA,Bio-power-Bagasse-NE,Bio-power-Bagasse-NO,Bio-power-Bagasse-SO,Bio-power-Bagasse-WE,Bio-power-Non-bagasse-EA,Bio-power-Non-bagasse-NE,Bio-power-Non-bagasse-NO,Bio-power-Non-bagasse-SO,Bio-power-Non-bagasse-WE,Bio-power-Waste-to-energy-EA,Bio-power-Waste-to-energy-NE,Bio-power-Waste-to-energy-NO,Bio-power-Waste-to-energy-SO,Bio-power-Waste-to-energy-WE,Bio-power-Waste-to-energy-off-grid-EA,Bio-power-Waste-to-energy-off-grid-NE,Bio-power-Waste-to-energy-off-grid-NO,Bio-power-Waste-to-energy-off-grid-SO,Bio-power-Waste-to-energy-off-grid-WE,Coal-EA,Coal-NE,Coal-NO,Coal-SO,Coal-WE,Hydro-EA,Hydro-NE,Hydro-NO,Hydro-SO,Hydro-WE,Nuclear-EA,Nuclear-NE,Nuclear-NO,Nuclear-SO,Nuclear-WE,Oil-Gas-EA,Oil-Gas-NE,Oil-Gas-NO,Oil-Gas-SO,Oil-Gas-WE,Small-Hydro-EA,Small-Hydro-NE,Small-Hydro-NO,Small-Hydro-SO,Small-Hydro-WE,Solar-GroundMounted-EA,Solar-GroundMounted-NE,Solar-GroundMounted-NO,Solar-GroundMounted-SO,Solar-GroundMounted-WE,Solar-Hybrid-solar-EA,Solar-Hybrid-solar-NO,Solar-Hybrid-solar-SO,Solar-Hybrid-solar-WE,Solar-Off-grid-EA,Solar-Off-grid-NE,Solar-Off-grid-NO,Solar-Off-grid-SO,Solar-Off-grid-WE,Solar-Roof-top-EA,Solar-Roof-top-NE,Solar-Roof-top-NO,Solar-Roof-top-SO,Solar-Roof-top-WE,Wind-EA,Wind-NE,Wind-NO,Wind-SO,Wind-WE
0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1868,0.1401,0.1801
1,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1673,0.10269999999999999,0.17489999999999997
2,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1512,0.07242,0.17179999999999998
3,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1442,0.05634,0.16749999999999998
4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1501,0.05016,0.17079999999999998
5,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1526,0.05734,0.17489999999999997
6,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,5e-05,0.0018,0,0,0,5e-05,0,0,0,5e-05,0.0018,0,0,0,5e-05,0.0018,0,0,0,0.5,0.5,0.3541,0.27998,0.1564
7,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.018025,0.033266667,0.001242857,0.01354,0.00475,0.018025,0.001242857,0.01354,0.00475,0.018025,0.033266667,0.001242857,0.01354,0.00475,0.018025,0.033266667,0.001242857,0.01354,0.00475,0.5,0.5,0.3379,0.28462,0.17096666666666663
8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.12940000000000002,0.17983333333333332,0.028157142857142856,0.1413,0.0678,0.12940000000000002,0.028157142857142856,0.1413,0.0678,0.12940000000000002,0.17983333333333332,0.028157142857142856,0.1413,0.0678,0.12940000000000002,0.17983333333333332,0.028157142857142856,0.1413,0.0678,0.5,0.5,0.3216,0.27372,0.1839666666666667
9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.7,0.7,0.7,0.7,0.7,0.071,0.067,0.218,0.069,0.079,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.071,0.067,0.218,0.069,0.079,0.295225,0.3059,0.13652857142857142,0.33428,0.240775,0.295225,0.13652857142857142,0.33428,0.240775,0.295225,0.3059,0.13652857142857142,0.33428,0.240775,0.295225,0.3059,0.13652857142857142,0.33428,0.240775,0.5,0.5,0.2919,0.2305,0.14876666666666669
