,Coal-EA,Coal-NE,Coal-NO,Coal-SO,Coal-WE
0,0.55,0.55,0.55,0.55,0.55
1,0.55,0.55,0.55,0.55,0.55
2,0.55,0.55,0.55,0.55,0.55
3,0.55,0.55,0.55,0.55,0.55
4,0.55,0.55,0.55,0.55,0.55
5,0.55,0.55,0.55,0.55,0.55
6,0.55,0.55,0.55,0.55,0.55
7,0.55,0.55,0.55,0.55,0.55
8,0.55,0.55,0.55,0.55,0.55
9,0.55,0.55,0.55,0.55,0.55
10,0.55,0.55,0.55,0.55,0.55
11,0.55,0.55,0.55,0.55,0.55
12,0.55,0.55,0.55,0.55,0.55
13,0.55,0.55,0.55,0.55,0.55
14,0.55,0.55,0.55,0.55,0.55
15,0.55,0.55,0.55,0.55,0.55
16,0.55,0.55,0.55,0.55,0.55
17,0.55,0.55,0.55,0.55,0.55
18,0.55,0.55,0.55,0.55,0.55
19,0.55,0.55,0.55,0.55,0.55
20,0.55,0.55,0.55,0.55,0.55
21,0.55,0.55,0.55,0.55,0.55
22,0.55,0.55,0.55,0.55,0.55
23,0.55,0.55,0.55,0.55,0.55
24,0.55,0.55,0.55,0.55,0.55
25,0.55,0.55,0.55,0.55,0.55
26,0.55,0.55,0.55,0.55,0.55
27,0.55,0.55,0.55,0.55,0.55
28,0.55,0.55,0.55,0.55,0.55
29,0.55,0.55,0.55,0.55,0.55
30,0.55,0.55,0.55,0.55,0.55
31,0.55,0.55,0.55,0.55,0.55
32,0.55,0.55,0.55,0.55,0.55
33,0.55,0.55,0.55,0.55,0.55
34,0.55,0.55,0.55,0.55,0.55
35,0.55,0.55,0.55,0.55,0.55
36,0.55,0.55,0.55,0.55,0.55
37,0.55,0.55,0.55,0.55,0.55
38,0.55,0.55,0.55,0.55,0.55
39,0.55,0.55,0.55,0.55,0.55
40,0.55,0.55,0.55,0.55,0.55
41,0.55,0.55,0.55,0.55,0.55
42,0.55,0.55,0.55,0.55,0.55
43,0.55,0.55,0.55,0.55,0.55
44,0.55,0.55,0.55,0.55,0.55
45,0.55,0.55,0.55,0.55,0.55
46,0.55,0.55,0.55,0.55,0.55
47,0.55,0.55,0.55,0.55,0.55
48,0.55,0.55,0.55,0.55,0.55
49,0.55,0.55,0.55,0.55,0.55
50,0.55,0.55,0.55,0.55,0.55
51,0.55,0.55,0.55,0.55,0.55
52,0.55,0.55,0.55,0.55,0.55
53,0.55,0.55,0.55,0.55,0.55
54,0.55,0.55,0.55,0.55,0.55
55,0.55,0.55,0.55,0.55,0.55
56,0.55,0.55,0.55,0.55,0.55
57,0.55,0.55,0.55,0.55,0.55
58,0.55,0.55,0.55,0.55,0.55
59,0.55,0.55,0.55,0.55,0.55
60,0.55,0.55,0.55,0.55,0.55
61,0.55,0.55,0.55,0.55,0.55
62,0.55,0.55,0.55,0.55,0.55
63,0.55,0.55,0.55,0.55,0.55
64,0.55,0.55,0.55,0.55,0.55
65,0.55,0.55,0.55,0.55,0.55
66,0.55,0.55,0.55,0.55,0.55
67,0.55,0.55,0.55,0.55,0.55
68,0.55,0.55,0.55,0.55,0.55
69,0.55,0.55,0.55,0.55,0.55
70,0.55,0.55,0.55,0.55,0.55
71,0.55,0.55,0.55,0.55,0.55
72,0.55,0.55,0.55,0.55,0.55
73,0.55,0.55,0.55,0.55,0.55
74,0.55,0.55,0.55,0.55,0.55
75,0.55,0.55,0.55,0.55,0.55
76,0.55,0.55,0.55,0.55,0.55
77,0.55,0.55,0.55,0.55,0.55
78,0.55,0.55,0.55,0.55,0.55
79,0.55,0.55,0.55,0.55,0.55
80,0.55,0.55,0.55,0.55,0.55
81,0.55,0.55,0.55,0.55,0.55
82,0.55,0.55,0.55,0.55,0.55
83,0.55,0.55,0.55,0.55,0.55
84,0.55,0.55,0.55,0.55,0.55
85,0.55,0.55,0.55,0.55,0.55
86,0.55,0.55,0.55,0.55,0.55
87,0.55,0.55,0.55,0.55,0.55
88,0.55,0.55,0.55,0.55,0.55
89,0.55,0.55,0.55,0.55,0.55
90,0.55,0.55,0.55,0.55,0.55
91,0.55,0.55,0.55,0.55,0.55
92,0.55,0.55,0.55,0.55,0.55
93,0.55,0.55,0.55,0.55,0.55
94,0.55,0.55,0.55,0.55,0.55
95,0.55,0.55,0.55,0.55,0.55
96,0.55,0.55,0.55,0.55,0.55
97,0.55,0.55,0.55,0.55,0.55
98,0.55,0.55,0.55,0.55,0.55
99,0.55,0.55,0.55,0.55,0.55
100,0.55,0.55,0.55,0.55,0.55
101,0.55,0.55,0.55,0.55,0.55
102,0.55,0.55,0.55,0.55,0.55
103,0.55,0.55,0.55,0.55,0.55
104,0.55,0.55,0.55,0.55,0.55
105,0.55,0.55,0.55,0.55,0.55
106,0.55,0.55,0.55,0.55,0.55
107,0.55,0.55,0.55,0.55,0.55
108,0.55,0.55,0.55,0.55,0.55
109,0.55,0.55,0.55,0.55,0.55
110,0.55,0.55,0.55,0.55,0.55
111,0.55,0.55,0.55,0.55,0.55
112,0.55,0.55,0.55,0.55,0.55
113,0.55,0.55,0.55,0.55,0.55
114,0.55,0.55,0.55,0.55,0.55
115,0.55,0.55,0.55,0.55,0.55
116,0.55,0.55,0.55,0.55,0.55
117,0.55,0.55,0.55,0.55,0.55
118,0.55,0.55,0.55,0.55,0.55
119,0.55,0.55,0.55,0.55,0.55
120,0.55,0.55,0.55,0.55,0.55
121,0.55,0.55,0.55,0.55,0.55
122,0.55,0.55,0.55,0.55,0.55
123,0.55,0.55,0.55,0.55,0.55
124,0.55,0.55,0.55,0.55,0.55
125,0.55,0.55,0.55,0.55,0.55
126,0.55,0.55,0.55,0.55,0.55
127,0.55,0.55,0.55,0.55,0.55
128,0.55,0.55,0.55,0.55,0.55
129,0.55,0.55,0.55,0.55,0.55
130,0.55,0.55,0.55,0.55,0.55
131,0.55,0.55,0.55,0.55,0.55
132,0.55,0.55,0.55,0.55,0.55
133,0.55,0.55,0.55,0.55,0.55
134,0.55,0.55,0.55,0.55,0.55
135,0.55,0.55,0.55,0.55,0.55
136,0.55,0.55,0.55,0.55,0.55
137,0.55,0.55,0.55,0.55,0.55
138,0.55,0.55,0.55,0.55,0.55
139,0.55,0.55,0.55,0.55,0.55
140,0.55,0.55,0.55,0.55,0.55
141,0.55,0.55,0.55,0.55,0.55
142,0.55,0.55,0.55,0.55,0.55
143,0.55,0.55,0.55,0.55,0.55
144,0.55,0.55,0.55,0.55,0.55
145,0.55,0.55,0.55,0.55,0.55
146,0.55,0.55,0.55,0.55,0.55
147,0.55,0.55,0.55,0.55,0.55
148,0.55,0.55,0.55,0.55,0.55
149,0.55,0.55,0.55,0.55,0.55
150,0.55,0.55,0.55,0.55,0.55
151,0.55,0.55,0.55,0.55,0.55
152,0.55,0.55,0.55,0.55,0.55
153,0.55,0.55,0.55,0.55,0.55
