name,type,bus,p_nom,p_nom_extendable,carrier,year,technology,capital_cost,efficiency,marginal_cost,lifetime,ramp_limit_up,ramp_limit_down
Bio-power - Bagasse-INDEA-agricultural-waste-solids,biomass-INDEA,INDEA,463.0,False,agricultural-waste-solids,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Bagasse-INDNE-agricultural-waste-solids,biomass-INDNE,INDNE,0.0,False,agricultural-waste-solids,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Bagasse-INDNO-agricultural-waste-solids,biomass-INDNO,INDNO,2600.0,False,agricultural-waste-solids,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Bagasse-INDSO-agricultural-waste-solids,biomass-INDSO,INDSO,3372.0,False,agricultural-waste-solids,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Bagasse-INDWE-agricultural-waste-solids,biomass-INDWE,INDWE,2998.0,False,agricultural-waste-solids,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Non-bagasse-INDEA-bioenergy,biomass-INDEA,INDEA,98.0,False,bioenergy,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Non-bagasse-INDNE-bioenergy,biomass-INDNE,INDNE,16.0,False,bioenergy,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Non-bagasse-INDNO-bioenergy,biomass-INDNO,INDNO,580.0,False,bioenergy,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Non-bagasse-INDSO-bioenergy,biomass-INDSO,INDSO,183.0,False,bioenergy,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Non-bagasse-INDWE-bioenergy,biomass-INDWE,INDWE,46.0,False,bioenergy,2023,biomass,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-INDEA-waste,waste-INDEA,INDEA,0.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-INDNE-waste,waste-INDNE,INDNE,0.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-INDNO-waste,waste-INDNO,INDNO,106.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-INDSO-waste,waste-INDSO,INDSO,106.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-INDWE-waste,waste-INDWE,INDWE,37.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-off-grid-INDEA-waste,waste-INDEA,INDEA,6.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-off-grid-INDNE-waste,waste-INDNE,INDNE,0.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-off-grid-INDNO-waste,waste-INDNO,INDNO,153.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-off-grid-INDSO-waste,waste-INDSO,INDSO,90.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Bio-power - Waste-to-energy-off-grid-INDWE-waste,waste-INDWE,INDWE,86.0,False,waste,2023,waste,2150,0.35,31.120657120657125,100,,
Solar - Ground Mounted-INDEA-solar,photovoltaic-unspecified-INDEA,INDEA,700.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Ground Mounted-INDNE-solar,photovoltaic-unspecified-INDNE,INDNE,134.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Ground Mounted-INDNO-solar,photovoltaic-unspecified-INDNO,INDNO,21507.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Ground Mounted-INDSO-solar,photovoltaic-unspecified-INDSO,INDSO,24477.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Ground Mounted-INDWE-solar,photovoltaic-unspecified-INDWE,INDWE,17598.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Hybrid-solar-INDEA-solar,photovoltaic-unspecified-INDEA,INDEA,0.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Hybrid-solar-INDNO-solar,photovoltaic-unspecified-INDNO,INDNO,1980.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Hybrid-solar-INDSO-solar,photovoltaic-unspecified-INDSO,INDSO,0.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Hybrid-solar-INDWE-solar,photovoltaic-unspecified-INDWE,INDWE,591.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Off-grid-INDEA-solar,photovoltaic-unspecified-INDEA,INDEA,114.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Off-grid-INDNE-solar,photovoltaic-unspecified-INDNE,INDNE,43.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Off-grid-INDNO-solar,photovoltaic-unspecified-INDNO,INDNO,1656.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Off-grid-INDSO-solar,photovoltaic-unspecified-INDSO,INDSO,221.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Off-grid-INDWE-solar,photovoltaic-unspecified-INDWE,INDWE,879.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Roof-top-INDEA-solar,photovoltaic-unspecified-INDEA,INDEA,284.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Roof-top-INDNE-solar,photovoltaic-unspecified-INDNE,INDNE,60.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Roof-top-INDNO-solar,photovoltaic-unspecified-INDNO,INDNO,2992.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Roof-top-INDSO-solar,photovoltaic-unspecified-INDSO,INDSO,2509.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Solar - Roof-top-INDWE-solar,photovoltaic-unspecified-INDWE,INDWE,6024.0,False,solar,2023,photovoltaic-unspecified,640,1.0,0.01,100,,
Wind-INDEA-wind,wind-onshore-INDEA,INDEA,0.0,False,wind,2023,wind-onshore,1120,1.0,0.01,100,,
Wind-INDNE-wind,wind-onshore-INDNE,INDNE,0.0,False,wind,2023,wind-onshore,1120,1.0,0.01,100,,
Wind-INDNO-wind,wind-onshore-INDNO,INDNO,5196.0,False,wind,2023,wind-onshore,1120,1.0,0.01,100,,
Wind-INDSO-wind,wind-onshore-INDSO,INDSO,20911.0,False,wind,2023,wind-onshore,1120,1.0,0.01,100,,
Wind-INDWE-wind,wind-onshore-INDWE,INDWE,19775.0,False,wind,2023,wind-onshore,1120,1.0,0.01,100,,
circulating-fluidized-bed-INDSO-coal,circulating-fluidized-bed-INDSO,INDSO,500.0,False,coal,2023,circulating-fluidized-bed,1000,0.36,12.372987239447532,100,,
circulating-fluidized-bed-INDWE-coal,circulating-fluidized-bed-INDWE,INDWE,500.0,False,coal,2023,circulating-fluidized-bed,1000,0.36,12.372987239447532,100,,
coal-unspecified-INDEA-coal,coal-unspecified-INDEA,INDEA,495.0,False,coal,2023,coal-unspecified,1000,0.36,12.372987239447532,100,0.6,0.6
