name,bus0,bus1,carrier,efficiency,build_year,lifetime,p_nom,p_nom_extendable,p_nom_min,p_nom_max,capital_cost,length
INDNO-INDEA-interconnector-2023,INDNO,INDEA,transmission,0.97,2023,50,4000,True,0,8000,999,1000
INDEA-INDNO-interconnector-2023,INDEA,INDNO,transmission,0.97,2023,50,8000,True,0,16000,999,1000
INDNO-INDWE-interconnector-2023,INDNO,INDWE,transmission,0.97,2023,50,4000,True,0,8000,999,1000
INDWE-INDNO-interconnector-2023,INDWE,INDNO,transmission,0.97,2023,50,17800,True,0,35600,999,1000
INDEA-INDSO-interconnector-2023,INDEA,INDSO,transmission,0.97,2023,50,6000,True,0,12000,999,1000
INDSO-INDEA-interconnector-2023,INDSO,INDEA,transmission,0.97,2023,50,0,True,0,4000,999,1000
INDWE-INDSO-interconnector-2023,INDWE,INDSO,transmission,0.97,2023,50,14700,True,0,29400,999,1000
INDSO-INDWE-interconnector-2023,INDSO,INDWE,transmission,0.97,2023,50,7650,True,0,15300,999,1000
INDEA-INDNE-interconnector-2023,INDEA,INDNE,transmission,0.97,2023,50,1950,True,0,3900,999,1000
INDNE-INDEA-interconnector-2023,INDNE,INDEA,transmission,0.97,2023,50,2900,True,0,5800,999,1000
INDEA-INDWE-interconnector-2023,INDEA,INDWE,transmission,0.97,2023,50,0,True,0,4000,999,1000
INDWE-INDEA-interconnector-2023,INDWE,INDEA,transmission,0.97,2023,50,5500,True,0,11000,999,1000
