Date,INDEA,INDNE,INDNO,INDSO,INDWE
2023-01-01 00:00:00,17214.0,1901.13,41644.68,36561.85,51049.79
2023-01-01 01:00:00,16809.43,1746.49,39167.0,35997.71,50794.74
2023-01-01 02:00:00,16422.83,1627.06,37791.04,35201.76,49998.86
2023-01-01 03:00:00,16268.35,1580.8,37594.52,34967.41,49790.68
2023-01-01 04:00:00,16123.95,1552.46,39011.33,36099.0,50298.97
2023-01-01 05:00:00,16682.73,1653.73,43474.51,40173.6,52479.96
2023-01-01 06:00:00,17529.19,1901.96,48321.47,43744.26,55374.74
2023-01-01 07:00:00,18936.81,2252.64,51100.22,48457.55,59364.0
2023-01-01 08:00:00,19732.37,2341.92,55484.2,51346.25,63006.09
2023-01-01 09:00:00,19888.57,2245.8,58991.22,54662.03,66915.19
2023-01-01 10:00:00,19821.48,2067.02,60763.69,55136.37,69553.37
2023-01-01 11:00:00,19841.22,1955.97,60775.52,54272.79,68887.51
2023-01-01 12:00:00,19595.39,1910.82,60104.71,53318.76,67070.46
2023-01-01 13:00:00,18944.1,1866.08,58215.56,51980.37,65301.03
2023-01-01 14:00:00,17481.72,1793.54,56836.14,49266.1,64627.7
2023-01-01 15:00:00,16624.36,1805.34,53355.48,49458.22,64467.53
2023-01-01 16:00:00,16839.79,2013.55,51459.59,47275.88,63125.03
2023-01-01 17:00:00,19186.5,2561.34,51605.18,43979.14,60273.94
2023-01-01 18:00:00,20337.16,2607.35,56126.94,41054.0,59181.72
2023-01-01 19:00:00,20005.41,2573.91,55395.94,39959.36,57046.19
2023-01-01 20:00:00,19198.53,2458.84,52810.55,38298.78,52459.38
2023-01-01 21:00:00,17975.66,2268.62,49518.27,37556.2,49897.7
2023-01-01 22:00:00,16814.45,2033.26,45235.3,36722.23,49431.5
2023-01-01 23:00:00,15887.48,1766.27,41529.72,35136.23,49503.14
2023-01-02 00:00:00,15974.1,1587.15,38720.53,34167.06,48875.89
2023-01-02 01:00:00,16035.43,1514.85,36658.16,33498.65,48218.01
2023-01-02 02:00:00,15677.14,1452.81,35940.78,32975.08,47640.07
2023-01-02 03:00:00,15457.85,1439.46,35684.66,33057.44,47426.89
2023-01-02 04:00:00,15406.7,1445.0,36637.4,34848.69,48275.66
2023-01-02 05:00:00,15686.28,1566.61,41496.65,39644.71,50837.27
2023-01-02 06:00:00,16589.07,1881.21,47046.09,44915.27,55231.19
2023-01-02 07:00:00,18563.68,2265.97,51410.39,51777.7,60380.91
2023-01-02 08:00:00,19643.69,2347.98,55545.25,53581.97,65082.72
2023-01-02 09:00:00,20036.37,2226.95,58997.16,56764.84,69793.74
2023-01-02 10:00:00,19801.62,2118.39,61015.07,58458.57,72492.68
2023-01-02 11:00:00,19610.4,2038.23,61048.4,57842.21,71855.21
2023-01-02 12:00:00,19571.43,2023.19,61556.18,57385.67,70371.85
2023-01-02 13:00:00,19162.48,1981.53,59703.21,56601.69,68588.17
2023-01-02 14:00:00,18420.59,1962.91,58189.36,55577.63,68611.92
2023-01-02 15:00:00,18203.16,1963.37,56756.64,54900.65,69247.75
2023-01-02 16:00:00,18641.18,2214.77,54795.91,53123.19,68618.59
2023-01-02 17:00:00,20913.81,2756.05,54754.91,49613.08,66407.44
2023-01-02 18:00:00,21539.27,2757.79,58040.85,46854.85,65352.38
2023-01-02 19:00:00,21056.95,2734.01,58477.22,45263.12,62463.42
2023-01-02 20:00:00,20409.38,2617.55,58079.61,43059.73,57103.88
2023-01-02 21:00:00,19463.55,2383.84,54935.36,41719.45,54017.21
2023-01-02 22:00:00,18050.62,2089.07,49772.6,40122.66,53219.19
2023-01-02 23:00:00,17171.53,1814.68,45769.69,38097.34,52829.83
2023-01-03 00:00:00,16820.49,1636.36,42378.39,36798.36,52389.2
2023-01-03 01:00:00,16490.38,1554.04,39803.91,35918.3,51838.18
2023-01-03 02:00:00,16194.13,1506.44,38058.19,35425.47,50981.14
2023-01-03 03:00:00,16141.34,1492.53,38394.87,35281.99,50756.94
2023-01-03 04:00:00,16322.35,1509.7,39845.68,36845.38,51548.27
2023-01-03 05:00:00,16500.69,1605.11,44695.08,41304.67,53616.56
2023-01-03 06:00:00,17501.46,1921.5,49203.16,46964.32,58147.87
2023-01-03 07:00:00,19576.98,2313.03,52348.52,54437.39,63278.22
2023-01-03 08:00:00,20853.0,2315.37,56329.74,55530.25,67481.72
2023-01-03 09:00:00,21179.62,2163.69,59019.13,57800.86,71660.79
2023-01-03 10:00:00,20851.28,2023.93,61653.09,59132.91,74091.72
2023-01-03 11:00:00,20662.63,1958.61,62425.27,58354.47,73086.95
2023-01-03 12:00:00,20441.31,1978.25,62665.11,58087.58,70895.65
2023-01-03 13:00:00,19789.01,1930.26,60988.81,56577.21,68982.73
2023-01-03 14:00:00,18805.25,1916.78,60371.97,55771.02,69028.48
2023-01-03 15:00:00,18303.36,1998.74,58649.94,54540.79,69535.23
2023-01-03 16:00:00,18631.67,2280.29,56505.2,52937.76,68473.96
2023-01-03 17:00:00,20835.79,2842.43,56629.25,49633.82,66531.86
2023-01-03 18:00:00,21893.9,2898.17,60725.57,47221.73,65205.28
2023-01-03 19:00:00,22076.29,2842.74,61412.94,45894.56,63263.35
2023-01-03 20:00:00,21149.64,2710.9,60486.95,43621.89,57813.56
2023-01-03 21:00:00,19927.72,2472.67,56836.78,42481.18,54798.02
2023-01-03 22:00:00,18647.7,2171.42,51702.56,40832.78,53940.33
2023-01-03 23:00:00,17596.78,1892.38,46903.63,39021.99,53644.39
2023-01-04 00:00:00,16939.54,1713.7,43378.5,37610.21,52850.25
2023-01-04 01:00:00,16708.3,1634.65,41113.51,36789.66,51923.38
2023-01-04 02:00:00,16134.83,1574.78,39874.66,36266.45,50826.48
2023-01-04 03:00:00,16240.38,1542.52,39013.05,36317.91,50386.58
2023-01-04 04:00:00,16605.34,1562.66,40409.3,37851.43,50995.55
2023-01-04 05:00:00,16611.33,1683.72,45427.16,42249.37,53148.79
2023-01-04 06:00:00,17853.22,1974.39,50843.71,47704.57,57194.63
2023-01-04 07:00:00,20008.33,2295.26,54061.15,54470.7,62153.05
2023-01-04 08:00:00,21207.73,2338.97,57916.04,56197.66,65652.94
2023-01-04 09:00:00,21433.92,2237.53,61470.6,58700.15,69331.42
2023-01-04 10:00:00,20959.81,2158.5,63282.89,59472.94,70538.98
2023-01-04 11:00:00,20302.46,2156.65,64093.09,58992.46,69209.81
2023-01-04 12:00:00,20349.92,2156.65,64829.36,58116.18,66837.71
2023-01-04 13:00:00,19957.35,2070.14,64237.74,56676.94,64545.34
2023-01-04 14:00:00,19217.17,2020.98,62589.08,55531.14,64311.0
2023-01-04 15:00:00,18800.43,2086.42,60084.64,55180.05,64860.97
2023-01-04 16:00:00,19137.5,2311.86,57626.23,53514.61,64935.34
2023-01-04 17:00:00,21353.5,2899.16,56776.12,49597.05,64366.67
2023-01-04 18:00:00,22277.81,2917.73,61048.73,47376.7,64423.19
2023-01-04 19:00:00,21773.77,2872.42,62513.96,45778.96,62543.8
2023-01-04 20:00:00,20970.97,2740.77,61387.09,43589.64,57724.1
2023-01-04 21:00:00,19650.08,2518.61,58229.32,41962.73,54667.15
2023-01-04 22:00:00,18770.17,2170.45,53319.37,40658.43,53286.05
2023-01-04 23:00:00,17890.34,1896.4,48127.94,38962.91,52472.65
2023-01-05 00:00:00,17210.78,1729.35,43792.16,37549.26,51628.25
2023-01-05 01:00:00,16925.69,1626.9,41386.85,36803.64,50594.58
2023-01-05 02:00:00,16709.52,1569.85,40020.23,36273.45,49677.75
2023-01-05 03:00:00,16541.72,1549.78,39590.11,36331.87,49679.88
2023-01-05 04:00:00,16432.38,1574.15,40747.08,37588.86,50672.72
2023-01-05 05:00:00,16740.87,1701.92,45067.84,42014.39,52987.33
2023-01-05 06:00:00,17845.27,2035.69,49471.31,47691.14,57020.34
2023-01-05 07:00:00,20066.8,2355.73,53820.88,54544.69,62780.15
2023-01-05 08:00:00,20895.42,2429.91,58049.49,55925.08,67253.82
2023-01-05 09:00:00,21025.39,2244.33,60619.2,58236.4,71467.35
2023-01-05 10:00:00,20693.23,2135.67,62100.75,59065.51,73891.7
2023-01-05 11:00:00,20320.11,2101.46,63739.18,58824.59,73202.87
2023-01-05 12:00:00,20197.52,2046.83,63933.34,57692.68,71205.57
2023-01-05 13:00:00,20230.45,1984.31,63245.54,55955.48,69385.6
2023-01-05 14:00:00,19602.81,1945.78,61246.19,54970.52,69411.31
2023-01-05 15:00:00,18778.57,2021.34,59628.42,53999.71,70074.02
2023-01-05 16:00:00,19083.17,2256.53,57289.43,51998.36,69550.5
2023-01-05 17:00:00,21132.38,2851.61,56747.76,49076.88,67594.92
2023-01-05 18:00:00,22053.04,2904.46,59065.3,47425.71,66250.15
2023-01-05 19:00:00,21795.45,2837.08,60254.32,45958.03,63356.7
2023-01-05 20:00:00,21132.0,2719.62,60664.85,43579.48,58222.32
2023-01-05 21:00:00,20160.17,2497.51,58060.72,42111.49,54923.66
2023-01-05 22:00:00,18932.61,2173.45,53920.2,40872.85,53890.11
2023-01-05 23:00:00,18201.13,1955.57,48872.71,39010.55,53265.71
2023-01-06 00:00:00,17437.08,1949.27,44381.45,37515.67,52245.68
2023-01-06 01:00:00,17090.46,1703.75,41498.82,36368.93,51308.18
2023-01-06 02:00:00,16609.15,1628.11,40086.0,35915.7,50347.04
2023-01-06 03:00:00,16381.12,1629.08,39434.16,35942.89,50189.57
2023-01-06 04:00:00,16505.85,1607.61,41056.8,37635.59,50988.81
2023-01-06 05:00:00,16291.52,1752.51,45657.44,42269.22,53532.55
2023-01-06 06:00:00,17478.08,2036.14,49835.53,47790.59,57464.29
2023-01-06 07:00:00,19462.78,2388.36,53555.88,54437.38,62446.47
2023-01-06 08:00:00,20483.7,2399.06,58675.77,54908.89,67235.1
2023-01-06 09:00:00,20786.37,2278.57,60005.78,57510.12,70091.79
2023-01-06 10:00:00,20603.51,2149.81,61176.89,58789.58,72540.2
2023-01-06 11:00:00,20664.34,2071.08,62016.55,58961.97,72330.29
2023-01-06 12:00:00,20746.35,2000.47,62641.27,58550.23,70926.66
2023-01-06 13:00:00,20051.25,1907.85,62875.6,56769.94,69652.34
2023-01-06 14:00:00,18987.06,1898.21,61468.41,55277.18,69748.96
2023-01-06 15:00:00,18726.84,1994.39,59037.67,53921.81,69495.81
2023-01-06 16:00:00,18819.68,2260.55,58247.13,52200.19,68159.79
2023-01-06 17:00:00,20980.89,2862.41,58089.92,49193.19,65702.16
2023-01-06 18:00:00,22259.93,2889.67,60701.2,47241.07,64964.25
2023-01-06 19:00:00,21858.52,2851.59,60902.47,45520.82,62713.44
2023-01-06 20:00:00,21153.8,2706.33,61214.56,43023.28,58548.33
