target_type,carrier,nodes,absolute,value,unit,sense,year,years_onwards,constraint,description,notes
capacity,"solar,wind,water",IND,TRUE,191000,MW,>=,2030,onwards,"[solar, water, wind, uranium] capacity in IND >= 491GW (2030 onwards)",RE capacity target,govt target
capacity,hydro,IND,TRUE,51363,MW,<=,2030,only,[hydro] additional capacity in IND <= 12 GW (by 2030),Hydro expansion potential,from TERI 2050 report
capacity,solar,INDEA,TRUE,61420,MW,<=,2030,only,[solar] max potential in INDEA <= 61420 MW(by 2030),solar INDEA max potential,from TERI 2050 report
capacity,solar,INDNE,TRUE,62300,MW,<=,2030,only,[solar] max potential in INDNE <= 62300 MW(by 2030),solar INDNE max potential,from TERI 2050 report
capacity,solar,INDNO,TRUE,336250,MW,<=,2030,only,[solar] max potential in INDNO <= 336250 MW(by 2030),solar INDNO max potential,from TERI 2050 report
capacity,solar,INDSO,TRUE,107330,MW,<=,2030,only,[solar] max potential in INDSO <= 107330 MW(by 2030),solar INDSO max potential,from TERI 2050 report
capacity,solar,INDWE,TRUE,180900,MW,<=,2030,only,[solar] max potential in INDWE <= 180900 MW(by 2030),solar INDWE max potential,from TERI 2050 report
capacity,wind,INDEA,TRUE,14323,MW,<=,2030,only,[wind] max potential in INDEA <= 14323 MW(by 2030),wind INDEA max potential,from TERI 2050 report
capacity,wind,INDNE,TRUE,521,MW,<=,2030,only,[wind] max potential in INDNE <= 521 MW(by 2030),wind INDNE max potential,from TERI 2050 report
capacity,wind,INDNO,TRUE,128762,MW,<=,2030,only,[wind] max potential in INDNO <= 128762 MW(by 2030),wind INDNO max potential,from TERI 2050 report
capacity,wind,INDSO,TRUE,295370,MW,<=,2030,only,[wind] max potential in INDSO <= 295370 MW(by 2030),wind INDSO max potential,from TERI 2050 report
capacity,wind,INDWE,TRUE,256533,MW,<=,2030,only,[wind] max potential in INDWE <= 256533 MW(by 2030),wind INDWE max potential,from TERI 2050 report
capacity,pumped-hydro,IND,TRUE,8000,MW,<=,2030,only,[pumped-hydro] max potential in IND <= 8000 MW(by 2030),pumped-hydro IND max potential,from TERI 2050 report
capacity,battery,IND,TRUE,4000,MW,<=,2030,only,[battery] max potential in IND <= 4000 MW(by 2030),battery IND max potential,from TERI 2050 report
