,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
0,0,0,0,0,0,0,0,0,0,0.359,0.62,0.111,0.348,0.304,0.396,0.22,0.618,0.244,0,0,0,0,0,0,0,0,0,0.359,0.62,0.111,0.348,0.304,0.396,0.22,0.618,0.244
1,0,0,0,0,0,0,0,0,0,0.329,0.604,0.133,0.409,0.413,0.406,0.25,0.714,0.291,0,0,0,0,0,0,0,0,0,0.329,0.604,0.133,0.409,0.413,0.406,0.25,0.714,0.291
2,0,0,0,0,0,0,0,0,0,0.318,0.629,0.133,0.527,0.399,0.392,0.314,0.666,0.294,0,0,0,0,0,0,0,0,0,0.318,0.629,0.133,0.527,0.399,0.392,0.314,0.666,0.294
3,0,0,0,0,0,0,0,0,0,0.32,0.626,0.133,0.607,0.399,0.341,0.348,0.714,0.312,0,0,0,0,0,0,0,0,0,0.32,0.626,0.133,0.607,0.399,0.341,0.348,0.714,0.312
4,0,0,0,0,0,0,0,0,0,0.311,0.612,0.111,0.582,0.442,0.382,0.394,0.714,0.322,0,0,0,0,0,0,0,0,0,0.311,0.612,0.111,0.582,0.442,0.382,0.394,0.714,0.322
5,0,0,0,0,0,0,0,0,0,0.323,0.566,0.133,0.559,0.449,0.309,0.439,0.666,0.314,0,0,0,0,0,0,0,0,0,0.323,0.566,0.133,0.559,0.449,0.309,0.439,0.666,0.314
6,0,0,0,0,0,0,0,0,0,0.33,0.546,0.156,0.585,0.449,0.244,0.402,0.618,0.324,0,0,0,0,0,0,0,0,0,0.33,0.546,0.156,0.585,0.449,0.244,0.402,0.618,0.324
7,0.045,0.022,0.047,0.06,0.01,0.015,0.013,0.027,0.011,0.358,0.577,0.156,0.595,0.37,0.249,0.364,0.618,0.304,0.045,0,0.047,0.06,0.01,0.015,0.013,0.027,0.011,0.358,0.577,0.156,0.595,0.37,0.249,0.364,0.618,0.304
8,0.209,0.123,0.236,0.31,0.06,0.147,0.149,0.208,0.135,0.352,0.579,0.156,0.662,0.572,0.253,0.356,0.618,0.171,0.209,0.022,0.236,0.31,0.06,0.147,0.149,0.208,0.135,0.352,0.579,0.156,0.662,0.572,0.253,0.356,0.618,0.171
9,0.352,0.251,0.442,0.514,0.114,0.353,0.308,0.412,0.303,0.368,0.64,0.133,0.553,0.609,0.267,0.402,0.618,0.214,0.352,0.123,0.442,0.514,0.114,0.353,0.308,0.412,0.303,0.368,0.64,0.133,0.553,0.609,0.267,0.402,0.618,0.214
10,0.424,0.306,0.592,0.54,0.164,0.517,0.424,0.527,0.485,0.396,0.633,0.178,0.598,0.601,0.313,0.386,0.571,0.299,0.424,0.251,0.592,0.54,0.164,0.517,0.424,0.527,0.485,0.396,0.633,0.178,0.598,0.601,0.313,0.386,0.571,0.299
11,0.378,0.338,0.653,0.642,0.169,0.572,0.528,0.593,0.606,0.423,0.763,0.2,0.697,0.674,0.415,0.432,0.571,0.302,0.378,0.306,0.653,0.642,0.169,0.572,0.528,0.593,0.606,0.423,0.763,0.2,0.697,0.674,0.415,0.432,0.571,0.302
12,0.32,0.308,0.64,0.649,0.148,0.555,0.517,0.631,0.636,0.433,0.831,0.178,0.703,0.601,0.488,0.398,0.571,0.299,0.32,0.338,0.64,0.649,0.148,0.555,0.517,0.631,0.636,0.433,0.831,0.178,0.703,0.601,0.488,0.398,0.571,0.299
13,0.27,0.29,0.549,0.529,0.133,0.482,0.467,0.608,0.572,0.433,0.852,0.2,0.681,0.58,0.521,0.398,0.618,0.302,0.27,0.308,0.549,0.529,0.133,0.482,0.467,0.608,0.572,0.433,0.852,0.2,0.681,0.58,0.521,0.398,0.618,0.302
14,0.185,0.168,0.371,0.337,0.059,0.332,0.371,0.477,0.462,0.426,0.894,0.222,0.643,0.558,0.521,0.36,0.618,0.294,0.185,0.29,0.371,0.337,0.059,0.332,0.371,0.477,0.462,0.426,0.894,0.222,0.643,0.558,0.521,0.36,0.618,0.294
15,0.037,0.049,0.16,0.151,0.045,0.159,0.217,0.277,0.296,0.427,0.89,0.222,0.623,0.348,0.493,0.333,0.618,0.317,0.037,0.168,0.16,0.151,0.045,0.159,0.217,0.277,0.296,0.427,0.89,0.222,0.623,0.348,0.493,0.333,0.618,0.317
16,0,0.001,0.016,0.015,0.003,0.028,0.063,0.065,0.098,0.424,0.924,0.2,0.611,0.312,0.488,0.258,0.666,0.216,0,0.049,0.016,0.015,0.003,0.028,0.063,0.065,0.098,0.424,0.924,0.2,0.611,0.312,0.488,0.258,0.666,0.216
17,0,0,0,0,0,0,0,0,0.003,0.446,0.944,0.2,0.671,0.203,0.392,0.269,0.714,0.299,0,0.001,0,0,0,0,0,0,0.003,0.446,0.944,0.2,0.671,0.203,0.392,0.269,0.714,0.299
18,0,0,0,0,0,0,0,0,0,0.452,0.933,0.2,0.659,0.196,0.364,0.258,0.714,0.324,0,0,0,0,0,0,0,0,0,0.452,0.933,0.2,0.659,0.196,0.364,0.258,0.714,0.324
19,0,0,0,0,0,0,0,0,0,0.453,0.916,0.2,0.604,0.246,0.341,0.216,0.666,0.322,0,0,0,0,0,0,0,0,0,0.453,0.916,0.2,0.604,0.246,0.341,0.216,0.666,0.322
20,0,0,0,0,0,0,0,0,0,0.446,0.926,0.178,0.623,0.232,0.387,0.223,0.523,0.319,0,0,0,0,0,0,0,0,0,0.446,0.926,0.178,0.623,0.232,0.387,0.223,0.523,0.319
21,0,0,0,0,0,0,0,0,0,0.456,0.925,0.178,0.681,0.304,0.419,0.258,0.523,0.281,0,0,0,0,0,0,0,0,0,0.456,0.925,0.178,0.681,0.304,0.419,0.258,0.523,0.281
22,0,0,0,0,0,0,0,0,0,0.429,0.927,0.178,0.691,0.217,0.341,0.277,0.476,0.254,0,0,0,0,0,0,0,0,0,0.429,0.927,0.178,0.691,0.217,0.341,0.277,0.476,0.254
