name,bus0,bus1,type,carrier,efficiency,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,min_utilisation_rate
JPN05-JPN04,JPN05,JPN04,,Transmission,0.97,2023,50,300,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.503196347
JPN04-JPN05,JPN04,JPN05,,Transmission,0.97,2023,50,300,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.005783866
JPN06-JPN04,JPN06,JPN04,,Transmission,0.97,2023,50,1320,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.8
JPN04-JPN06,JPN04,JPN06,,Transmission,0.97,2023,50,2500,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.021881279
JPN09-JPN07,JPN09,JPN07,,Transmission,0.97,2023,50,780,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.8
JPN07-JPN09,JPN07,JPN09,,Transmission,0.97,2023,50,3950,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.009571701
JPN08-JPN07,JPN08,JPN07,,Transmission,0.97,2023,50,1200,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.230745814
JPN07-JPN08,JPN07,JPN08,,Transmission,0.97,2023,50,1200,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.013242009
JPN02-JPN01,JPN02,JPN01,,Transmission,0.97,2023,50,900,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.098325723
JPN01-JPN02,JPN01,JPN02,,Transmission,0.97,2023,50,900,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.134145104
JPN05-JPN06,JPN05,JPN06,,Transmission,0.97,2023,50,1900,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.044268205
JPN06-JPN05,JPN06,JPN05,,Transmission,0.97,2023,50,1600,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.146689498
JPN06-JPN07,JPN06,JPN07,,Transmission,0.97,2023,50,4650,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.013079982
JPN07-JPN06,JPN07,JPN06,,Transmission,0.97,2023,50,3260,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.461803513
JPN08-JPN06,JPN08,JPN06,,Transmission,0.97,2023,50,1400,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.636986301
JPN06-JPN08,JPN06,JPN08,,Transmission,0.97,2023,50,1400,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.002348337
JPN03-JPN02,JPN03,JPN02,,Transmission,0.97,2023,50,2360,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.017761783
JPN02-JPN03,JPN02,JPN03,,Transmission,0.97,2023,50,5960,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.544497564
JPN03-JPN04,JPN03,JPN04,,Transmission,0.97,2023,50,2100,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.090715373
JPN04-JPN03,JPN04,JPN03,,Transmission,0.97,2023,50,2100,,FALSE,0,,,0,,0,,,,0,0,,,,,,,,,,,,,,0.28562731
