name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_storage,marginal_cost_quadratic,standing_loss,spill,inflow,state_of_charge,state_of_charge_initial,state_of_charge_initial_per_period,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,build_year,lifetime,capital_cost,efficiency_store,efficiency_dispatch,standing_loss,annual_fixed_costs,total_capital_cost
JPN01-PumpedHydro-2023active_exo,JPN01,,PumpedHydro,807.17,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2023,50,3602390,1,0.95,0,20150,3602390
JPN01-PumpedHydro-2030_exo,JPN01,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN01-Batteries-2023active_exo,JPN01,,Batteries,82,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN01-Batteries-2030_endo,JPN01,,Batteries,0,,TRUE,0,425.62,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN01-Batteries-2030_exo,JPN01,,Batteries,1274.46,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN02-PumpedHydro-2023active_exo,JPN02,,PumpedHydro,278.57,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2023,50,3602390,1,0.95,0,20150,3602390
JPN02-PumpedHydro-2030_exo,JPN02,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN02-Batteries-2023active_exo,JPN02,,Batteries,50.85,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN02-Batteries-2030_endo,JPN02,,Batteries,0,,TRUE,0,553.53,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN02-Batteries-2030_exo,JPN02,,Batteries,803.54,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
