timestep,TWN-Solar-2030_endo,TWN-OnshoreWind-2030_endo,TWN-OffshoreWind-2030_endo,TWN-Solar-2030_exo,TWN-OnshoreWind-2030_exo,TWN-OffshoreWind-2030_exo,TWN-Hydro-2030_exo,TWN-CoGen_coal-2030_exo,TWN-CoGen_biogas_waste-2030_exo,TWN-Solar-2024active_exo,TWN-OnshoreWind-2024active_exo,TWN-OffshoreWind-2024active_exo,TWN-Hydro-2024active_exo,TWN-CoGen_coal-2024active_exo,TWN-CoGen_biogas_waste-2024active_exo
01/01/2030 00:00,0,0.18,0.413,0,0.18,0.413,0.109,0.447,0.447,0,0.18,0.413,0.109,0.447,0.447
01/01/2030 01:00,0,0.155,0.494,0,0.155,0.494,0.117,0.416,0.416,0,0.155,0.494,0.117,0.416,0.416
01/01/2030 02:00,0,0.146,0.436,0,0.146,0.436,0.181,0.287,0.287,0,0.146,0.436,0.181,0.287,0.287
01/01/2030 03:00,0,0.085,0.313,0,0.085,0.313,0.128,0.31,0.31,0,0.085,0.313,0.128,0.31,0.31
01/01/2030 04:00,0,0.065,0.345,0,0.065,0.345,0.11,0.314,0.314,0,0.065,0.345,0.11,0.314,0.314
01/01/2030 05:00,0,0.118,0.283,0,0.118,0.283,0.109,0.313,0.313,0,0.118,0.283,0.109,0.313,0.313
01/01/2030 06:00,0,0.101,0.228,0,0.101,0.228,0.094,0.312,0.312,0,0.101,0.228,0.094,0.312,0.312
01/01/2030 07:00,0.022,0.14,0.031,0.022,0.14,0.031,0.096,0.323,0.323,0.022,0.14,0.031,0.096,0.323,0.323
01/01/2030 08:00,0.133,0.164,0.287,0.133,0.164,0.287,0.1,0.323,0.323,0.133,0.164,0.287,0.1,0.323,0.323
01/01/2030 09:00,0.191,0.204,0.306,0.191,0.204,0.306,0.097,0.305,0.305,0.191,0.204,0.306,0.097,0.305,0.305
01/01/2030 10:00,0.334,0.238,0.316,0.334,0.238,0.316,0.085,0.301,0.301,0.334,0.238,0.316,0.085,0.301,0.301
01/01/2030 11:00,0.408,0.355,0.455,0.408,0.355,0.455,0.078,0.318,0.318,0.408,0.355,0.455,0.078,0.318,0.318
01/01/2030 12:00,0.433,0.203,0.465,0.433,0.203,0.465,0.103,0.339,0.339,0.433,0.203,0.465,0.103,0.339,0.339
01/01/2030 13:00,0.421,0.16,0.384,0.421,0.16,0.384,0.128,0.36,0.36,0.421,0.16,0.384,0.128,0.36,0.36
01/01/2030 14:00,0.353,0.171,0.277,0.353,0.171,0.277,0.098,0.384,0.384,0.353,0.171,0.277,0.098,0.384,0.384
01/01/2030 15:00,0.269,0.343,0.578,0.269,0.343,0.578,0.099,0.352,0.352,0.269,0.343,0.578,0.099,0.352,0.352
01/01/2030 16:00,0.106,0.355,0.432,0.106,0.355,0.432,0.153,0.346,0.346,0.106,0.355,0.432,0.153,0.346,0.346
01/01/2030 17:00,0.014,0.352,0.568,0.014,0.352,0.568,0.252,0.293,0.293,0.014,0.352,0.568,0.252,0.293,0.293
01/01/2030 18:00,0,0.519,0.724,0,0.519,0.724,0.307,0.383,0.383,0,0.519,0.724,0.307,0.383,0.383
01/01/2030 19:00,0,0.489,0.691,0,0.489,0.691,0.31,0.381,0.381,0,0.489,0.691,0.31,0.381,0.381
01/01/2030 20:00,0,0.411,0.572,0,0.411,0.572,0.278,0.338,0.338,0,0.411,0.572,0.278,0.338,0.338
01/01/2030 21:00,0,0.337,0.478,0,0.337,0.478,0.247,0.312,0.312,0,0.337,0.478,0.247,0.312,0.312
01/01/2030 22:00,0,0.337,0.597,0,0.337,0.597,0.191,0.395,0.395,0,0.337,0.597,0.191,0.395,0.395
01/01/2030 23:00,0,0.287,0.432,0,0.287,0.432,0.155,0.327,0.327,0,0.287,0.432,0.155,0.327,0.327
02/01/2030 00:00,0,0.175,0.348,0,0.175,0.348,0.167,0.33,0.33,0,0.175,0.348,0.167,0.33,0.33
02/01/2030 01:00,0,0.154,0.322,0,0.154,0.322,0.121,0.435,0.435,0,0.154,0.322,0.121,0.435,0.435
02/01/2030 02:00,0,0.213,0.381,0,0.213,0.381,0.096,0.309,0.309,0,0.213,0.381,0.096,0.309,0.309
02/01/2030 03:00,0,0.185,0.406,0,0.185,0.406,0.097,0.309,0.309,0,0.185,0.406,0.097,0.309,0.309
02/01/2030 04:00,0,0.212,0.374,0,0.212,0.374,0.088,0.346,0.346,0,0.212,0.374,0.088,0.346,0.346
02/01/2030 05:00,0,0.238,0.355,0,0.238,0.355,0.086,0.305,0.305,0,0.238,0.355,0.086,0.305,0.305
02/01/2030 06:00,0,0.248,0.374,0,0.248,0.374,0.084,0.335,0.335,0,0.248,0.374,0.084,0.335,0.335
02/01/2030 07:00,0.035,0.258,0.397,0.035,0.258,0.397,0.076,0.276,0.276,0.035,0.258,0.397,0.076,0.276,0.276
02/01/2030 08:00,0.132,0.312,0.445,0.132,0.312,0.445,0.087,0.231,0.231,0.132,0.312,0.445,0.087,0.231,0.231
02/01/2030 09:00,0.274,0.431,0.601,0.274,0.431,0.601,0.106,0.214,0.214,0.274,0.431,0.601,0.106,0.214,0.214
02/01/2030 10:00,0.402,0.492,0.646,0.402,0.492,0.646,0.099,0.278,0.278,0.402,0.492,0.646,0.099,0.278,0.278
02/01/2030 11:00,0.452,0.553,0.691,0.452,0.553,0.691,0.095,0.329,0.329,0.452,0.553,0.691,0.095,0.329,0.329
02/01/2030 12:00,0.471,0.615,0.737,0.471,0.615,0.737,0.083,0.33,0.33,0.471,0.615,0.737,0.083,0.33,0.33
02/01/2030 13:00,0.448,0.673,0.759,0.448,0.673,0.759,0.084,0.348,0.348,0.448,0.673,0.759,0.084,0.348,0.348
02/01/2030 14:00,0.395,0.689,0.759,0.395,0.689,0.759,0.089,0.327,0.327,0.395,0.689,0.759,0.089,0.327,0.327
02/01/2030 15:00,0.247,0.668,0.762,0.247,0.668,0.762,0.093,0.317,0.317,0.247,0.668,0.762,0.093,0.317,0.317
02/01/2030 16:00,0.104,0.676,0.759,0.104,0.676,0.759,0.12,0.304,0.304,0.104,0.676,0.759,0.12,0.304,0.304
02/01/2030 17:00,0.014,0.668,0.753,0.014,0.668,0.753,0.22,0.315,0.315,0.014,0.668,0.753,0.22,0.315,0.315
02/01/2030 18:00,0,0.645,0.75,0,0.645,0.75,0.273,0.238,0.238,0,0.645,0.75,0.273,0.238,0.238
02/01/2030 19:00,0,0.625,0.733,0,0.625,0.733,0.263,0.324,0.324,0,0.625,0.733,0.263,0.324,0.324
02/01/2030 20:00,0,0.602,0.733,0,0.602,0.733,0.272,0.36,0.36,0,0.602,0.733,0.272,0.36,0.36
02/01/2030 21:00,0,0.518,0.698,0,0.518,0.698,0.204,0.275,0.275,0,0.518,0.698,0.204,0.275,0.275
02/01/2030 22:00,0,0.435,0.665,0,0.435,0.665,0.117,0.359,0.359,0,0.435,0.665,0.117,0.359,0.359
02/01/2030 23:00,0,0.421,0.652,0,0.421,0.652,0.112,0.397,0.397,0,0.421,0.652,0.112,0.397,0.397
03/01/2030 00:00,0,0.407,0.639,0,0.407,0.639,0.114,0.421,0.421,0,0.407,0.639,0.114,0.421,0.421
03/01/2030 01:00,0,0.402,0.62,0,0.402,0.62,0.123,0.454,0.454,0,0.402,0.62,0.123,0.454,0.454
03/01/2030 02:00,0,0.377,0.688,0,0.377,0.688,0.087,0.324,0.324,0,0.377,0.688,0.087,0.324,0.324
03/01/2030 03:00,0,0.36,0.623,0,0.36,0.623,0.082,0.322,0.322,0,0.36,0.623,0.082,0.322,0.322
03/01/2030 04:00,0,0.283,0.607,0,0.283,0.607,0.078,0.316,0.316,0,0.283,0.607,0.078,0.316,0.316
03/01/2030 05:00,0,0.248,0.52,0,0.248,0.52,0.081,0.298,0.298,0,0.248,0.52,0.081,0.298,0.298
03/01/2030 06:00,0,0.341,0.031,0,0.341,0.031,0.088,0.242,0.242,0,0.341,0.031,0.088,0.242,0.242
03/01/2030 07:00,0.029,0.406,0.546,0.029,0.406,0.546,0.08,0.385,0.385,0.029,0.406,0.546,0.08,0.385,0.385
03/01/2030 08:00,0.12,0.364,0.484,0.12,0.364,0.484,0.08,0.319,0.319,0.12,0.364,0.484,0.08,0.319,0.319
03/01/2030 09:00,0.279,0.39,0.559,0.279,0.39,0.559,0.088,0.389,0.389,0.279,0.39,0.559,0.088,0.389,0.389
03/01/2030 10:00,0.391,0.422,0.542,0.391,0.422,0.542,0.084,0.481,0.481,0.391,0.422,0.542,0.084,0.481,0.481
03/01/2030 11:00,0.457,0.47,0.627,0.457,0.47,0.627,0.091,0.501,0.501,0.457,0.47,0.627,0.091,0.501,0.501
03/01/2030 12:00,0.485,0.566,0.753,0.485,0.566,0.753,0.087,0.556,0.556,0.485,0.566,0.753,0.087,0.556,0.556
03/01/2030 13:00,0.464,0.543,0.743,0.464,0.543,0.743,0.103,0.428,0.428,0.464,0.543,0.743,0.103,0.428,0.428
03/01/2030 14:00,0.402,0.52,0.733,0.402,0.52,0.733,0.109,0.491,0.491,0.402,0.52,0.733,0.109,0.491,0.491
03/01/2030 15:00,0.248,0.585,0.753,0.248,0.585,0.753,0.114,0.552,0.552,0.248,0.585,0.753,0.114,0.552,0.552
03/01/2030 16:00,0.105,0.565,0.727,0.105,0.565,0.727,0.17,0.522,0.522,0.105,0.565,0.727,0.17,0.522,0.522
03/01/2030 17:00,0.019,0.546,0.701,0.019,0.546,0.701,0.2,0.436,0.436,0.019,0.546,0.701,0.2,0.436,0.436
03/01/2030 18:00,0,0.508,0.688,0,0.508,0.688,0.255,0.431,0.431,0,0.508,0.688,0.255,0.431,0.431
03/01/2030 19:00,0,0.432,0.606,0,0.432,0.606,0.257,0.446,0.446,0,0.432,0.606,0.257,0.446,0.446
