name,bus,type,technology,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,carrier,marginal_cost,build_year,lifetime,total_capital_cost,efficiency,committable,ramp_limit_up,ramp_limit_down,generation_blend_share,min_utilisation_rate,max_utilisation_rate,annual_fixed_costs,is_blend_or_ccs
TWN-Coal-2024active_exo,TWN,coal-unspecified,coal-unspecified,9720,0,FALSE,0,,0.45,1,Coal,63.79,2024,40,0,0.42,FALSE,0.7,0.85,0,,0.67,0,FALSE
TWN-Coal-2030_exo,TWN,coal-unspecified,coal-unspecified,0,0,FALSE,0,,0.45,1,Coal,63.79,2030,40,0,0.42,FALSE,0.7,0.85,0,,0.67,0,FALSE
TWN-LNG-2024active_exo,TWN,gas-unspecified,gas-unspecified,20696,0,FALSE,0,,0,1,LNG,69.62,2024,40,0,0.52,FALSE,0.7,0.85,0,,0.66,0,FALSE
TWN-LNG-2030_endo,TWN,gas-unspecified,gas-unspecified,0,0,TRUE,0,,0,1,LNG,65.89,2030,40,1526071,0.55,FALSE,0.7,0.85,0,,0.66,76835.99,FALSE
TWN-LNG-2030_exo,TWN,gas-unspecified,gas-unspecified,13696.6,0,FALSE,0,,0,1,LNG,65.89,2030,40,1526071,0.55,FALSE,0.7,0.85,0,,0.66,76835.99,FALSE
TWN-Oil-2024active_exo,TWN,oil-unspecified,oil-unspecified,312,0,FALSE,0,,0,1,Oil,167.78,2024,30,0,0.34,FALSE,1,1,0,0.22,,0,FALSE
TWN-Oil-2030_exo,TWN,oil-unspecified,oil-unspecified,0,0,FALSE,0,,0,1,Oil,146.98,2030,30,0,0.39,FALSE,1,1,0,0.22,,0,FALSE
TWN-Nuclear-2024active_exo,TWN,nuclear-unspecified,nuclear-unspecified,0,0,FALSE,0,,0,1,Nuclear,11.98,2024,40,0,0.35,FALSE,0.3,0.3,0,,,0,FALSE
TWN-Nuclear-2030_exo,TWN,nuclear-unspecified,nuclear-unspecified,0,0,FALSE,0,,0,1,Nuclear,11.98,2030,40,0,0.35,FALSE,0.3,0.3,0,,,0,FALSE
TWN-Hydro-2024active_exo,TWN,hydro-unspecified,hydro-unspecified,2122.4,0,FALSE,0,,0,1,Hydro,0,2024,40,0,1,FALSE,1,1,0,,,0,FALSE
TWN-Hydro-2030_exo,TWN,hydro-unspecified,hydro-unspecified,17,0,FALSE,0,,0,1,Hydro,0,2030,40,5294352,1,FALSE,1,1,0,,,77744.17,FALSE
TWN-Biomass-2024active_exo,TWN,biomass-unspecified,biomass-unspecified,61,0,FALSE,0,,0,1,Biomass,225.22,2024,40,0,0.17,FALSE,1,1,0,0.36,,0,FALSE
TWN-Biomass-2030_endo,TWN,biomass-unspecified,biomass-unspecified,0,0,TRUE,0,,0,1,Biomass,156.42,2030,40,3465636,0.25,FALSE,1,1,0,0.36,,639859.18,FALSE
TWN-Biomass-2030_exo,TWN,biomass-unspecified,biomass-unspecified,438.548,0,FALSE,0,,0,1,Biomass,156.42,2030,40,3465636,0.25,FALSE,1,1,0,0.36,,639859.18,FALSE
TWN-Geothermal-2024active_exo,TWN,geothermal-unspecified,geothermal-unspecified,7.2,0,FALSE,0,,0,1,Geothermal,0,2024,40,0,1,FALSE,1,1,0,,0.32,0,FALSE
TWN-Geothermal-2030_endo,TWN,geothermal-unspecified,geothermal-unspecified,0,0,TRUE,0,,0,1,Geothermal,0,2030,40,9875460,1,FALSE,1,1,0,,0.32,334722.72,FALSE
TWN-Geothermal-2030_exo,TWN,geothermal-unspecified,geothermal-unspecified,596.5,0,FALSE,0,,0,1,Geothermal,0,2030,40,9875460,1,FALSE,1,1,0,,0.32,334722.72,FALSE
TWN-Solar-2024active_exo,TWN,solar-unspecified,solar-unspecified,14281,0,FALSE,0,,0,1,Solar,0,2024,20,0,1,FALSE,1,1,0,,,0,FALSE
TWN-Solar-2030_endo,TWN,solar-unspecified,solar-unspecified,0,0,TRUE,0,4660,0,1,Solar,0,2030,20,763090,1,FALSE,1,1,0,,,39501.84,FALSE
TWN-Solar-2030_exo,TWN,solar-unspecified,solar-unspecified,12157.2,0,FALSE,0,,0,1,Solar,0,2030,20,763090,1,FALSE,1,1,0,,,39501.84,FALSE
TWN-OffshoreWind-2024active_exo,TWN,offshorewind-unspecified,offshorewind-unspecified,2962.843,0,FALSE,0,,0,1,OffshoreWind,0,2024,25,0,1,FALSE,1,1,0,,,0,FALSE
TWN-OffshoreWind-2030_endo,TWN,offshorewind-unspecified,offshorewind-unspecified,0,0,TRUE,0,,0,1,OffshoreWind,0,2030,25,3934799,1,FALSE,1,1,0,,,109584.71,FALSE
TWN-OffshoreWind-2030_exo,TWN,offshorewind-unspecified,offshorewind-unspecified,7197.624,0,FALSE,0,,0,1,OffshoreWind,0,2030,25,3934799,1,FALSE,1,1,0,,,109584.71,FALSE
TWN-OnshoreWind-2024active_exo,TWN,onshorewind-unspecified,onshorewind-unspecified,927.4037,0,FALSE,0,,0,1,OnshoreWind,0,2024,25,0,1,FALSE,1,1,0,,,0,FALSE
TWN-OnshoreWind-2030_endo,TWN,onshorewind-unspecified,onshorewind-unspecified,0,0,TRUE,0,1250,0,1,OnshoreWind,0,2030,25,1226557,1,FALSE,1,1,0,,,71430.62,FALSE
TWN-OnshoreWind-2030_exo,TWN,onshorewind-unspecified,onshorewind-unspecified,252.29364,0,FALSE,0,,0,1,OnshoreWind,0,2030,25,1226557,1,FALSE,1,1,0,,,71430.62,FALSE
TWN-CoGen_coal-2024active_exo,TWN,coal-cogeneration,coal-cogeneration,1438,0,FALSE,0,,0,1,CoGen_coal,63.79,2024,25,0,0.42,FALSE,0.7,0.85,0,,,0,FALSE
TWN-CoGen_coal-2030_exo,TWN,coal-cogeneration,coal-cogeneration,0,0,FALSE,0,,0,1,CoGen_coal,63.79,2030,25,0,0.42,FALSE,0.7,0.85,0,,,0,FALSE
TWN-CoGen_biogas_waste-2024active_exo,TWN,biogas_waste-cogeneration,biogas_waste-cogeneration,442,0,FALSE,0,,0,1,CoGen_biogas_waste,225.22,2024,25,0,0.17,FALSE,1,1,0,,,0,FALSE
TWN-CoGen_biogas_waste-2030_exo,TWN,biogas_waste-cogeneration,biogas_waste-cogeneration,0,0,FALSE,0,,0,1,CoGen_biogas_waste,156.42,2030,25,0,0.25,FALSE,1,1,0,,,0,FALSE
TWN-BlueH2-2030_exo,TWN,blending-blueH2-gas-unspecified,blending-blueH2-gas-unspecified,0,0,FALSE,0,,0,1,BlueH2,76.08,2030,40,1526071,0.55,FALSE,1,1,0.1,,0.66,76835.99,TRUE
TWN-BlueH2_Gas-2030_exo,TWN,blending-blueH2-gas-unspecified,blending-blueH2-gas-unspecified,0,0,FALSE,0,,0,1,BlueH2_Gas,76.08,2030,40,1526071,0.55,FALSE,1,1,0.9,,0.66,76835.99,TRUE
TWN-GasCCSLeaked-2030_exo,TWN,gas-CCS-unspecified,gas-CCS-unspecified,0,0,FALSE,0,,0,1,GasCCSLeaked,80.2,2030,30,2775669.18,0.46,FALSE,1,1,0.3,,0.66,124330.37,TRUE
TWN-GasCCSSequestered-2030_exo,TWN,gas-CCS-unspecified,gas-CCS-unspecified,0,0,FALSE,0,,0,1,GasCCSSequestered,80.2,2030,30,2775669.18,0.46,FALSE,1,1,0.7,,0.66,124330.37,TRUE
TWN-BlueH2-2030_endo,TWN,blending-blueH2-gas-unspecified,blending-blueH2-gas-unspecified,0,0,TRUE,0,,0,1,BlueH2,76.08,2030,40,1526071,0.55,FALSE,1,1,0.1,,0.66,76835.99,TRUE
TWN-BlueH2_Gas-2030_endo,TWN,blending-blueH2-gas-unspecified,blending-blueH2-gas-unspecified,0,0,TRUE,0,,0,1,BlueH2_Gas,76.08,2030,40,1526071,0.55,FALSE,1,1,0.9,,0.66,76835.99,TRUE
TWN-GasCCSLeaked-2030_endo,TWN,gas-CCS-unspecified,gas-CCS-unspecified,0,0,TRUE,0,,0,1,GasCCSLeaked,80.2,2030,30,2775669.18,0.46,FALSE,1,1,0.3,,0.66,124330.37,TRUE
TWN-GasCCSSequestered-2030_endo,TWN,gas-CCS-unspecified,gas-CCS-unspecified,0,0,TRUE,0,,0,1,GasCCSSequestered,80.2,2030,30,2775669.18,0.46,FALSE,1,1,0.7,,0.66,124330.37,TRUE
