,snapshot,objective,stores,generators
0,2024-01-01 00:00,1,1,1
1,2024-01-01 01:00,1,1,1
2,2024-01-01 02:00,1,1,1
3,2024-01-01 03:00,1,1,1
4,2024-01-01 04:00,1,1,1
5,2024-01-01 05:00,1,1,1
6,2024-01-01 06:00,1,1,1
7,2024-01-01 07:00,1,1,1
8,2024-01-01 08:00,1,1,1
9,2024-01-01 09:00,1,1,1
10,2024-01-01 10:00,1,1,1
11,2024-01-01 11:00,1,1,1
12,2024-01-01 12:00,1,1,1
13,2024-01-01 13:00,1,1,1
14,2024-01-01 14:00,1,1,1
15,2024-01-01 15:00,1,1,1
16,2024-01-01 16:00,1,1,1
17,2024-01-01 17:00,1,1,1
18,2024-01-01 18:00,1,1,1
19,2024-01-01 19:00,1,1,1
20,2024-01-01 20:00,1,1,1
21,2024-01-01 21:00,1,1,1
22,2024-01-01 22:00,1,1,1
23,2024-01-01 23:00,1,1,1
24,2024-01-02 00:00,1,1,1
25,2024-01-02 01:00,1,1,1
26,2024-01-02 02:00,1,1,1
27,2024-01-02 03:00,1,1,1
28,2024-01-02 04:00,1,1,1
29,2024-01-02 05:00,1,1,1
30,2024-01-02 06:00,1,1,1
31,2024-01-02 07:00,1,1,1
32,2024-01-02 08:00,1,1,1
33,2024-01-02 09:00,1,1,1
34,2024-01-02 10:00,1,1,1
35,2024-01-02 11:00,1,1,1
36,2024-01-02 12:00,1,1,1
37,2024-01-02 13:00,1,1,1
38,2024-01-02 14:00,1,1,1
39,2024-01-02 15:00,1,1,1
40,2024-01-02 16:00,1,1,1
41,2024-01-02 17:00,1,1,1
42,2024-01-02 18:00,1,1,1
43,2024-01-02 19:00,1,1,1
44,2024-01-02 20:00,1,1,1
45,2024-01-02 21:00,1,1,1
46,2024-01-02 22:00,1,1,1
47,2024-01-02 23:00,1,1,1
48,2024-01-03 00:00,1,1,1
49,2024-01-03 01:00,1,1,1
50,2024-01-03 02:00,1,1,1
51,2024-01-03 03:00,1,1,1
52,2024-01-03 04:00,1,1,1
53,2024-01-03 05:00,1,1,1
54,2024-01-03 06:00,1,1,1
55,2024-01-03 07:00,1,1,1
56,2024-01-03 08:00,1,1,1
57,2024-01-03 09:00,1,1,1
58,2024-01-03 10:00,1,1,1
59,2024-01-03 11:00,1,1,1
60,2024-01-03 12:00,1,1,1
61,2024-01-03 13:00,1,1,1
62,2024-01-03 14:00,1,1,1
63,2024-01-03 15:00,1,1,1
64,2024-01-03 16:00,1,1,1
65,2024-01-03 17:00,1,1,1
66,2024-01-03 18:00,1,1,1
67,2024-01-03 19:00,1,1,1
68,2024-01-03 20:00,1,1,1
69,2024-01-03 21:00,1,1,1
70,2024-01-03 22:00,1,1,1
71,2024-01-03 23:00,1,1,1
72,2024-01-04 00:00,1,1,1
73,2024-01-04 01:00,1,1,1
74,2024-01-04 02:00,1,1,1
75,2024-01-04 03:00,1,1,1
76,2024-01-04 04:00,1,1,1
77,2024-01-04 05:00,1,1,1
78,2024-01-04 06:00,1,1,1
79,2024-01-04 07:00,1,1,1
80,2024-01-04 08:00,1,1,1
81,2024-01-04 09:00,1,1,1
82,2024-01-04 10:00,1,1,1
83,2024-01-04 11:00,1,1,1
84,2024-01-04 12:00,1,1,1
85,2024-01-04 13:00,1,1,1
86,2024-01-04 14:00,1,1,1
87,2024-01-04 15:00,1,1,1
88,2024-01-04 16:00,1,1,1
89,2024-01-04 17:00,1,1,1
90,2024-01-04 18:00,1,1,1
91,2024-01-04 19:00,1,1,1
92,2024-01-04 20:00,1,1,1
93,2024-01-04 21:00,1,1,1
94,2024-01-04 22:00,1,1,1
95,2024-01-04 23:00,1,1,1
96,2024-01-05 00:00,1,1,1
97,2024-01-05 01:00,1,1,1
98,2024-01-05 02:00,1,1,1
99,2024-01-05 03:00,1,1,1
100,2024-01-05 04:00,1,1,1
101,2024-01-05 05:00,1,1,1
102,2024-01-05 06:00,1,1,1
103,2024-01-05 07:00,1,1,1
104,2024-01-05 08:00,1,1,1
105,2024-01-05 09:00,1,1,1
106,2024-01-05 10:00,1,1,1
107,2024-01-05 11:00,1,1,1
108,2024-01-05 12:00,1,1,1
109,2024-01-05 13:00,1,1,1
110,2024-01-05 14:00,1,1,1
111,2024-01-05 15:00,1,1,1
112,2024-01-05 16:00,1,1,1
113,2024-01-05 17:00,1,1,1
114,2024-01-05 18:00,1,1,1
115,2024-01-05 19:00,1,1,1
116,2024-01-05 20:00,1,1,1
117,2024-01-05 21:00,1,1,1
118,2024-01-05 22:00,1,1,1
119,2024-01-05 23:00,1,1,1
120,2024-01-06 00:00,1,1,1
