,TWN-PumpedHydro
0,1624.7365591397843
1,2012.8548387096769
2,2649.0161290322576
3,3547.827956989247
4,5077.559139784946
5,6114.715053763441
6,6599.435483870968
7,6692.553763440861
8,6365.822580645161
9,5720.908602150537
10,4825.268817204302
11,3897.97311827957
12,2954.2365591397847
13,2035.6505376344085
14,1180.6774193548388
15,457.1881720430108
16,0.0
17,16.822580645161224
18,493.26881720430106
19,1195.97311827957
20,1950.010752688172
21,2702.005376344086
22,3417.1505376344085
23,4083.2150537634407
24,1624.7365591397843
25,2012.8548387096769
26,2649.0161290322576
27,3547.827956989247
28,5077.559139784946
29,6114.715053763441
30,6599.435483870968
31,6692.553763440861
32,6365.822580645161
33,5720.908602150537
34,4825.268817204302
35,3897.97311827957
36,2954.2365591397847
37,2035.6505376344085
38,1180.6774193548388
39,457.1881720430108
40,0.0
41,16.822580645161224
42,493.26881720430106
43,1195.97311827957
44,1950.010752688172
45,2702.005376344086
46,3417.1505376344085
47,4083.2150537634407
48,1624.7365591397843
49,2012.8548387096769
50,2649.0161290322576
51,3547.827956989247
52,5077.559139784946
53,6114.715053763441
54,6599.435483870968
55,6692.553763440861
56,6365.822580645161
57,5720.908602150537
58,4825.268817204302
59,3897.97311827957
60,2954.2365591397847
61,2035.6505376344085
62,1180.6774193548388
63,457.1881720430108
64,0.0
65,16.822580645161224
66,493.26881720430106
67,1195.97311827957
68,1950.010752688172
69,2702.005376344086
70,3417.1505376344085
71,4083.2150537634407
72,1624.7365591397843
73,2012.8548387096769
74,2649.0161290322576
75,3547.827956989247
76,5077.559139784946
77,6114.715053763441
78,6599.435483870968
79,6692.553763440861
80,6365.822580645161
81,5720.908602150537
82,4825.268817204302
83,3897.97311827957
84,2954.2365591397847
85,2035.6505376344085
86,1180.6774193548388
87,457.1881720430108
88,0.0
89,16.822580645161224
90,493.26881720430106
91,1195.97311827957
92,1950.010752688172
93,2702.005376344086
94,3417.1505376344085
95,4083.2150537634407
96,1624.7365591397843
97,2012.8548387096769
98,2649.0161290322576
99,3547.827956989247
100,5077.559139784946
101,6114.715053763441
102,6599.435483870968
103,6692.553763440861
104,6365.822580645161
105,5720.908602150537
106,4825.268817204302
107,3897.97311827957
108,2954.2365591397847
109,2035.6505376344085
110,1180.6774193548388
111,457.1881720430108
112,0.0
113,16.822580645161224
114,493.26881720430106
115,1195.97311827957
116,1950.010752688172
117,2702.005376344086
118,3417.1505376344085
119,4083.2150537634407
120,1624.7365591397843
121,2012.8548387096769
122,2649.0161290322576
123,3547.827956989247
124,5077.559139784946
125,6114.715053763441
126,6599.435483870968
127,6692.553763440861
128,6365.822580645161
129,5720.908602150537
130,4825.268817204302
131,3897.97311827957
132,2954.2365591397847
133,2035.6505376344085
134,1180.6774193548388
135,457.1881720430108
136,0.0
137,16.822580645161224
138,493.26881720430106
139,1195.97311827957
140,1950.010752688172
141,2702.005376344086
142,3417.1505376344085
143,4083.2150537634407
144,1624.7365591397843
145,2012.8548387096769
146,2649.0161290322576
147,3547.827956989247
148,5077.559139784946
149,6114.715053763441
150,6599.435483870968
151,6692.553763440861
152,6365.822580645161
153,5720.908602150537
154,4825.268817204302
155,3897.97311827957
156,2954.2365591397847
157,2035.6505376344085
158,1180.6774193548388
159,457.1881720430108
160,0.0
161,16.822580645161224
162,493.26881720430106
163,1195.97311827957
164,1950.010752688172
165,2702.005376344086
166,3417.1505376344085
167,4083.2150537634407
168,1624.7365591397843
169,2012.8548387096769
170,2649.0161290322576
171,3547.827956989247
172,5077.559139784946
173,6114.715053763441
