from_node,to_node,length,capital_cost,fixed_cost,efficiency,initial_capacity,planned_expansion,expansion_year
BRN,MYSSK,631,447560.8,15664.628,0.965,0,0,
IDNJW,IDNKA,1307,683204.7,23912.1645,0.941,0,0,
IDNJW,IDNNU,965,526986,18444.51,0.953,1600,400,
IDNJW,IDNSM,1414,633758.2,22181.537,0.938,3000,0,
IDNKA,IDNSL,578,468076.8,16382.688,0.967,0,0,
IDNKA,MYSSH,730,471103,16488.605,0.961,0,0,
IDNKA,MYSSK,789,485133.2,16979.662,0.959,0,230,
IDNML,IDNPP,1399,710353.9,24862.3865,0.938,0,0,
IDNML,IDNSL,981,587002.1,20545.0735,0.953,0,0,
IDNNU,IDNSL,606,476339.6,16671.886,0.966,0,0,
IDNSM,MYSPE,339,397547.9,13914.1765,0.975,0,0,
IDNSM,SGP,624,481651.4,16857.799,0.965,0,0,
LAO,MMR,696,463017.8,16205.623,0.963,0,600,2026
LAO,THA,520,421165,14740.775,0.969,0,0,
LAO,VNMNO,482,412128.6,14424.501,0.97,0,1032,2026
MMR,THA,575,434244,15198.54,0.967,0,0,
LAO,VNMCE,644,450652.2,15772.827,0.964,0,2036,2025
MYSPE,MYSSK,977,585821.7,20503.7595,0.953,0,0,
MYSPE,SGP,311,337793,11822.755,0.979,1000,0,
MYSPE,THA,1187,579777.6,20292.216,0.945,0,0,
MYSSH,MYSSK,803,488462.4,17096.184,0.959,0,50,2024
MYSSH,PHLLU,1098,621528.8,21753.508,0.949,0,0,
PHLLU,PHLVI,563,463650.3,16227.7605,0.967,440,0,
PHLMI,PHLVI,415,419975.5,14699.1425,0.972,0,450,2024
VNMCE,VNMNO,621,445182.8,15581.398,0.965,2200,0,
VNMCE,VNMSO,598,439713.4,15389.969,0.966,12000,3500,2025
